sentence_id,Someone,somewhere,title,article_link,Someone_first_index,Someone_last_index,somewhere_first_index,somewhere_last_index,sentence_text,paragraph_text,url
43878,Green,Jewish origin,Jonathon Green,https://en.wikipedia.org/wiki?curid=20291259,4,4,1,2,"Of Jewish origin , Green was educated at Bedford School ( 1961–1965 ) and Brasenose College , Oxford ( 1966–1969 ) where he read history .","Of Jewish origin, Green was educated at Bedford School (1961–1965) and Brasenose College, Oxford (1966–1969) where he read history.",https://en.wikipedia.org/wiki?curid=20291259
43878,Green,Bedford School,Jonathon Green,https://en.wikipedia.org/wiki?curid=20291259,4,4,8,9,"Of Jewish origin , Green was educated at Bedford School ( 1961–1965 ) and Brasenose College , Oxford ( 1966–1969 ) where he read history .","Of Jewish origin, Green was educated at Bedford School (1961–1965) and Brasenose College, Oxford (1966–1969) where he read history.",https://en.wikipedia.org/wiki?curid=20291259
48625,he,Laval University,Louis-Alfred-Adhémar Rivet,https://en.wikipedia.org/wiki?curid=12857120,6,6,10,11,"Born in Joliette , Quebec , he was educated at Laval University where he received a B.A and LL.B. He was a practicing lawyer in the law firm of Rivet , Robillard & Tetrault .","Born in Joliette, Quebec, he was educated at Laval University where he received a B.A and LL.B. He was a practicing lawyer in the law firm of Rivet, Robillard & Tetrault. He was elected to the House of Commons of Canada for Hochelaga in a 1904 by-election, after the sitting MP, Joseph Alexandre Camille Madore, appointed Puisne Judge of the Supreme Court of Quebec. A Liberal, he was re-elected in 1904 and 1908. He was defeated in 1911.",https://en.wikipedia.org/wiki?curid=12857120
48625,he,a practicing lawyer,Louis-Alfred-Adhémar Rivet,https://en.wikipedia.org/wiki?curid=12857120,6,6,21,23,"Born in Joliette , Quebec , he was educated at Laval University where he received a B.A and LL.B. He was a practicing lawyer in the law firm of Rivet , Robillard & Tetrault .","Born in Joliette, Quebec, he was educated at Laval University where he received a B.A and LL.B. He was a practicing lawyer in the law firm of Rivet, Robillard & Tetrault. He was elected to the House of Commons of Canada for Hochelaga in a 1904 by-election, after the sitting MP, Joseph Alexandre Camille Madore, appointed Puisne Judge of the Supreme Court of Quebec. A Liberal, he was re-elected in 1904 and 1908. He was defeated in 1911.",https://en.wikipedia.org/wiki?curid=12857120
49911,He,Harrow School,William Wells (1818–1889),https://en.wikipedia.org/wiki?curid=29487886,0,0,4,5,"He was educated at Harrow School and at Balliol College , Oxford , and served in the 1st Life Guards from 1839 until 1843 .","Wells was the son of Captain William Wells, R.N. and his wife Lady Elizabeth Proby, daughter of John Proby, 1st Earl of Carysfort, and grandson of Vice-Admiral Thomas Wells, of Holme, whose father, William, had inherited the estate from his wife's uncle, Thomas Truman, in 1768. He was educated at Harrow School and at Balliol College, Oxford, and served in the 1st Life Guards from 1839 until 1843. In 1826 he inherited Holmewood Hall in Huntingdonshire from his father. He also inherited the Redleaf estate in Kent from his great-uncle William.",https://en.wikipedia.org/wiki?curid=29487886
50688,Titterrell,the Hugh Christie Technology College,Andy Titterrell,https://en.wikipedia.org/wiki?curid=1966433,0,0,4,8,Titterrell was educated at the Hugh Christie Technology College in Tonbridge and Sevenoaks School and started playing rugby union at the age of seven at Sevenoaks which also nurtured England prop David Flatman and Sevens specialist Tony Roques .,Titterrell was educated at the Hugh Christie Technology College in Tonbridge and Sevenoaks School and started playing rugby union at the age of seven at Sevenoaks which also nurtured England prop David Flatman and Sevens specialist Tony Roques.,https://en.wikipedia.org/wiki?curid=1966433
51484,Newcombe,Queens ' College,Richard Newcombe (priest),https://en.wikipedia.org/wiki?curid=53665410,0,0,4,6,"Newcombe was educated at Queens ' College , Cambridge .","Newcombe was educated at Queens' College, Cambridge. He held incumbencies at Llanrhyddlad, Llanfwrog and Clocaenog.",https://en.wikipedia.org/wiki?curid=53665410
53893,He,St. Joseph 's College,Joseph Holt,https://en.wikipedia.org/wiki?curid=1412477,0,0,4,7,"He was educated at St. Joseph 's College in Bardstown , Kentucky and Centre College in Danville , Kentucky .","Joseph Holt was born in Breckinridge County, Kentucky, on January 6, 1807. He was educated at St. Joseph's College in Bardstown, Kentucky and Centre College in Danville, Kentucky. He settled in Elizabethtown, Kentucky, and set up a law office in town. He married Mary Harrison and moved to Louisville, Kentucky, in 1832. There, he became assistant editor of the ""Louisville Public Advertiser"" and the Commonwealth's Attorney from 1833 to 1835. Holt moved to Port Gibson, Mississippi, and practiced law there as well as in Natchez, Mississippi and Vicksburg, Mississippi. Holt and his wife contracted tuberculosis. Mary died of it, and Joseph returned to Louisville to recuperate.",https://en.wikipedia.org/wiki?curid=1412477
59397,He,Leipzig,Emil Friedrich Kautzsch,https://en.wikipedia.org/wiki?curid=8136372,0,0,4,4,"He was educated at Leipzig , in whose theological faculty he was appointed privatdozent ( 1869 ) and professor ( 1871 ) .","He was educated at Leipzig, in whose theological faculty he was appointed privatdozent (1869) and professor (1871). Subsequently he held chairs at Basel (1872–80), where he received an honorary Swiss citizenship and made friends with Friedrich Nietzsche, after which he moved to Tübingen (1880–88) until receiving a professorship at Halle in 1888.",https://en.wikipedia.org/wiki?curid=8136372
60464,He,the University of Notre Dame,Abraham González (governor),https://en.wikipedia.org/wiki?curid=1003172,0,0,4,8,"He was educated at the University of Notre Dame , in Notre Dame , Indiana .","González was born on his family's estates in Basúchil, in Guerrero Municipality, Chihuahua. He was a member of one of the richest and best-educated families in the state (the González family was believed to be descended from European nobility). He was educated at the University of Notre Dame, in Notre Dame, Indiana. His paternal line is from Teocaltiche, Jalisco belonging to the González de Hermosillo y Gómez Rendón family with Y-DNA matches with other González de Hermosillo families of Jalisco.",https://en.wikipedia.org/wiki?curid=1003172
60553,Jin,China University of Geosciences,Jin Yuzhang,https://en.wikipedia.org/wiki?curid=1966405,0,0,4,7,Jin was educated at China University of Geosciences .,"Jin was educated at China University of Geosciences. After graduation he worked at the Qinghai Bureau of Geology and Mineral Resources from 1968 to 1985, before returning to Beijing to work at the Chongwen district Bureau of Environmental Protection.",https://en.wikipedia.org/wiki?curid=1966405
61291,Swift,a Christian Brothers School,John Swift (trade unionist),https://en.wikipedia.org/wiki?curid=53654245,4,4,8,11,"Born in Dundalk , Swift was educated at a Christian Brothers School .","Born in Dundalk, Swift was educated at a Christian Brothers School. His father ran a co-operative bakery but this closed and the family endured poverty. In 1914, Swift began an apprenticeship at a bakery in Dublin, and spent much of his spare time attending meetings where Jim Larkin was speaking. He briefly joined the Irish Volunteers, but took time out following an accident, and decided not to rejoin due to Larkin's opposition to the organisation.",https://en.wikipedia.org/wiki?curid=53654245
65627,Goh,River Valley High School,Goh Meng Seng,https://en.wikipedia.org/wiki?curid=31443632,0,0,4,7,"Goh was educated at River Valley High School and Hwa Chong Junior College , before going on to the National University of Singapore where he completed a Bachelor of Arts and Bachelor of Social Science ( Honours ) in Economics .","Goh was educated at River Valley High School and Hwa Chong Junior College, before going on to the National University of Singapore where he completed a Bachelor of Arts and Bachelor of Social Science (Honours) in Economics.",https://en.wikipedia.org/wiki?curid=31443632
66661,She,Girls School,Minimata Agam Dass Guru,https://en.wikipedia.org/wiki?curid=54683125,0,0,4,5,"She was educated at Girls School , Nawagon and Raipur .","Minimata was born in Nawagaon district in Assam in 1916. She was educated at Girls School, Nawagon and Raipur.",https://en.wikipedia.org/wiki?curid=54683125
66922,William,1719,"William Pitt, 1st Earl of Chatham",https://en.wikipedia.org/wiki?curid=33632,2,2,1,1,From 1719 William was educated at Eton College along with his brother .,"William Pitt was born at Golden Square, Westminster, on 15 November 1708. His older brother Thomas Pitt had been born in 1704. There were also five sisters: Harriet, Catherine, Ann, Elizabeth, and Mary. From 1719 William was educated at Eton College along with his brother. William disliked Eton, later claiming that ""a public school might suit a boy of turbulent disposition but would not do where there was any gentleness"". It was at school that Pitt began to suffer from gout. Governor Pitt died in 1726, and the family estate at Boconnoc passed to William's father. When he died the following year, Boconnoc was inherited by William's elder brother, Thomas Pitt of Boconnoc.",https://en.wikipedia.org/wiki?curid=33632
66922,William,Eton College,"William Pitt, 1st Earl of Chatham",https://en.wikipedia.org/wiki?curid=33632,2,2,6,7,From 1719 William was educated at Eton College along with his brother .,"William Pitt was born at Golden Square, Westminster, on 15 November 1708. His older brother Thomas Pitt had been born in 1704. There were also five sisters: Harriet, Catherine, Ann, Elizabeth, and Mary. From 1719 William was educated at Eton College along with his brother. William disliked Eton, later claiming that ""a public school might suit a boy of turbulent disposition but would not do where there was any gentleness"". It was at school that Pitt began to suffer from gout. Governor Pitt died in 1726, and the family estate at Boconnoc passed to William's father. When he died the following year, Boconnoc was inherited by William's elder brother, Thomas Pitt of Boconnoc.",https://en.wikipedia.org/wiki?curid=33632
66922,William,his brother,"William Pitt, 1st Earl of Chatham",https://en.wikipedia.org/wiki?curid=33632,2,2,10,11,From 1719 William was educated at Eton College along with his brother .,"William Pitt was born at Golden Square, Westminster, on 15 November 1708. His older brother Thomas Pitt had been born in 1704. There were also five sisters: Harriet, Catherine, Ann, Elizabeth, and Mary. From 1719 William was educated at Eton College along with his brother. William disliked Eton, later claiming that ""a public school might suit a boy of turbulent disposition but would not do where there was any gentleness"". It was at school that Pitt began to suffer from gout. Governor Pitt died in 1726, and the family estate at Boconnoc passed to William's father. When he died the following year, Boconnoc was inherited by William's elder brother, Thomas Pitt of Boconnoc.",https://en.wikipedia.org/wiki?curid=33632
68916,Jeffery,Bedford School,Anne Lenner,https://en.wikipedia.org/wiki?curid=24219862,0,0,4,5,"Jeffery was educated at Bedford School but ran away to join the Ice Follies , which came through town when he was in the 6th Form .","Lenner married a dance producer by the name of Piddock, whom she met while appearing in a review produced by him. They had one son Jeffrey, who went into show business under the name of Jeffrey Lenner. Jeffery was educated at Bedford School but ran away to join the Ice Follies, which came through town when he was in the 6th Form. Jeffrey found it difficult to obtain work after his return from Australia, where he had hosted his own television programme, and he was never able to emulate the success of his mother.",https://en.wikipedia.org/wiki?curid=24219862
70103,August Torma,St. Petersburg University,August Torma,https://en.wikipedia.org/wiki?curid=29488704,0,1,5,7,"August Torma was educated at St. Petersburg University , then attended Vladimir Military Academy .","August Torma was educated at St. Petersburg University, then attended Vladimir Military Academy.",https://en.wikipedia.org/wiki?curid=29488704
71071,He,Glasgow Academy,George Matheson,https://en.wikipedia.org/wiki?curid=2718052,0,0,4,5,"He was educated at Glasgow Academy and the University of Glasgow , where he graduated first in classics , logic and philosophy .","He was educated at Glasgow Academy and the University of Glasgow, where he graduated first in classics, logic and philosophy. In his twentieth year he became totally blind, but he held to his resolve to enter the ministry, and gave himself to theological and historical study. In 1879 the University of Edinburgh conferred upon him the honorary degree of D.D.. In 1890, he became a fellow of the Royal Society of Edinburgh, upon the proposal of Sir William Thomson, Robert Flint, Hugh Macmillan and James Lindsay.",https://en.wikipedia.org/wiki?curid=2718052
74454,He,Heywood Grammar School,Lister Tonge,https://en.wikipedia.org/wiki?curid=46212639,0,0,4,6,"He was educated at Heywood Grammar School , Salford Grammar School , King 's College London and Loyola University Chicago .","Tonge was born on 23 December 1951 in Oldham, Lancashire, England. He was educated at Heywood Grammar School, Salford Grammar School, King's College London and Loyola University Chicago. He is the second child of Edward Tonge and Dorothy Tonge (née Clough).",https://en.wikipedia.org/wiki?curid=46212639
84434,Goodhart,the Hotchkiss School,Arthur Lehman Goodhart,https://en.wikipedia.org/wiki?curid=1032821,0,0,4,6,"Goodhart was educated at the Hotchkiss School , Yale University and Trinity College , Cambridge .","Arthur Goodhart was born to a Jewish family in New York City, the youngest of three children born to Harriet ""Hattie"" (née Lehman) and Philip Julius Goodhart. His siblings were Howard Goodhart and Helen Goodhart Altschul (married to Frank Altschul). His maternal grandfather was Mayer Lehman, one of three brothers who co-founded the investment banking firm Lehman Brothers. Goodhart was educated at the Hotchkiss School, Yale University and Trinity College, Cambridge. At Yale, he was an editor of campus humor magazine ""The Yale Record"". After returning to the United States, he practised law until World War I. Following the war, he started to pursue an academic career in law, initially at Cambridge University and later at Oxford University where he became Professor of Jurisprudence and subsequently the Master of University College. He was editor of the ""Law Quarterly Review"" for fifty years.",https://en.wikipedia.org/wiki?curid=1032821
85915,Denny,St Mary Hall,Henry Berners,https://en.wikipedia.org/wiki?curid=53665931,0,0,4,6,"Denny was educated at St Mary Hall , Oxford .","Denny was educated at St Mary Hall, Oxford. He was Rector of Erwarton from 1801 to 1835.",https://en.wikipedia.org/wiki?curid=53665931
87004,His parents,their class,Valery Bryusov,https://en.wikipedia.org/wiki?curid=1032865,0,1,5,6,"His parents were educated for their class but had little do with his upbringing , and as a boy Bryusov was largely left to himself .","Valery Bryusov was born on 13 December 1873 (recorded as 1 December, according to the old Julian calendar) into a merchant's family in Moscow. His parents were educated for their class but had little do with his upbringing, and as a boy Bryusov was largely left to himself. He spent a great deal of time reading ""everything that fell into [his] hands,"" including the works of Charles Darwin and Jules Verne, as well as various materialistic and scientific essays. The future poet received an excellent education, studying in two Moscow gymnasiums between 1885 and 1893.",https://en.wikipedia.org/wiki?curid=1032865
91998,He,Charterhouse School,Thomas Bostock Whinney,https://en.wikipedia.org/wiki?curid=53665912,0,0,4,5,He was educated at Charterhouse School .,"He was born in 1860, the son of Frederick Whinney of Regent's Park Road, London. He was educated at Charterhouse School.",https://en.wikipedia.org/wiki?curid=53665912
92766,Mangan,two Independent schools,Stephen Mangan,https://en.wikipedia.org/wiki?curid=4629932,0,0,4,6,"Mangan was educated at two Independent schools , Woodhouse Grove School for boys in Bradford , and Haileybury and Imperial Service College ( now co - educational ) , a boarding school in the village of Hertford Heath ( also in Hertfordshire ) .","Mangan was educated at two Independent schools, Woodhouse Grove School for boys in Bradford, and Haileybury and Imperial Service College (now co-educational), a boarding school in the village of Hertford Heath (also in Hertfordshire). He was in a school prog rock band called Aragon, who recorded an album called ""The Wizard's Dream.""",https://en.wikipedia.org/wiki?curid=4629932
94687,She,the Woman 's Medical College of the New York Infirmary,Martha Wollstein,https://en.wikipedia.org/wiki?curid=24219416,0,0,4,13,"She was educated at the Woman 's Medical College of the New York Infirmary , which became part of the Cornell University Medical School in 1909 .","She was educated at the Woman's Medical College of the New York Infirmary, which became part of the Cornell University Medical School in 1909. There she studied with Mary Corinna Putnam Jacobi, with whom she would later publish her first paper in 1902, on a myosarcoma of the uterus. After graduating in 1890, Wollstein joined the Babies Hospital in New York, where she became a pathologist in 1892. Her work there included research on infant diarrhea, malaria, tuberculosis, and typhoid fever. In 1904, she was invited by Simon Flexner to join the Rockefeller Institute for Medical Research as an assistant researcher, though she continued to work at the Babies Hospital even after this. At the Rockefeller Institute she did experimental work on polio, studied pneumonia, and helped to develop an antimeningitis serum. In a study published in the Journal of the American Medical Association in 1918, she made an important contribution to the study of mumps, by indicating that the disease could be viral in nature.",https://en.wikipedia.org/wiki?curid=24219416
95947,Tower,a civil engineer,Fayette Bartholomew Tower,https://en.wikipedia.org/wiki?curid=10863225,0,0,4,6,Tower was educated as a civil engineer .,"Fayette Bartholomew Tower (1817–1857), civil engineer; mayor. Tower was born in Waterville, New York on June 29, 1817. Tower was educated as a civil engineer. In 1837, he was appointed on the Croton Aqueduct and he continued on that work until its completion in 1842. During the ensuing five years he made Waterville his residence, and at the time prepared his ""Illustration of the Croton Aqueduct"" consisting of a series of twenty-one plates with text (New York, 1843). About 1848 his health led him to seek a milder climate, and he settled in Cumberland, Maryland. He was chosen to the Maryland, legislature and was later elected mayor of Cumberland (1853–1854). His health continued to fall, and in 1856 he returned to Waterville and died soon afterwards on February 16, 1857.",https://en.wikipedia.org/wiki?curid=10863225
99161,He,the Montessori Lyceum Rotterdam,Jan Bergstra,https://en.wikipedia.org/wiki?curid=8136798,0,0,4,7,"He was educated at the Montessori Lyceum Rotterdam ( gymnasium beta ) and then studied mathematics at Utrecht University , starting in 1969 .","Jan Bergstra was born in 1951 in Rotterdam, the son of Tjeerd Bergstra and Johanna Bisschop. He was educated at the Montessori Lyceum Rotterdam (gymnasium beta) and then studied mathematics at Utrecht University, starting in 1969. After an MSc he wrote a PhD thesis, defended in 1976, on recursion theory in higher types, under the supervision of Dirk van Dalen.",https://en.wikipedia.org/wiki?curid=8136798
101389,She,the public schools,Margaret Hamilton (nurse),https://en.wikipedia.org/wiki?curid=53654960,0,0,4,6,"She was educated at the public schools and St. Joseph 's Seminary in Emmitsburg , Maryland .","Hamilton was born October 19, 1840 in Rochester, New York. She was the only child of Cornelius and Mary (née Sheehan) Mahoney. Cornelius was the son of Dennis Mahoney and his wife, Margaret Hamilton was quite close to both of her parents until her mother's death in 1857. She was educated at the public schools and St. Joseph's Seminary in Emmitsburg, Maryland. At the seminary, she joined Sisters of Charity, even though her father did not approve.",https://en.wikipedia.org/wiki?curid=53654960
101559,Fletcher,Felsted School,Sean Fletcher,https://en.wikipedia.org/wiki?curid=10636962,0,0,4,5,"Fletcher was educated at Felsted School , an independent school in the village of Felsted ( near Great Dunmow ) in Essex , followed by King 's College London , where he obtained a degree in Geography .","Fletcher was educated at Felsted School, an independent school in the village of Felsted (near Great Dunmow) in Essex, followed by King's College London, where he obtained a degree in Geography.",https://en.wikipedia.org/wiki?curid=10636962
101559,Fletcher,King 's College London,Sean Fletcher,https://en.wikipedia.org/wiki?curid=10636962,0,0,25,28,"Fletcher was educated at Felsted School , an independent school in the village of Felsted ( near Great Dunmow ) in Essex , followed by King 's College London , where he obtained a degree in Geography .","Fletcher was educated at Felsted School, an independent school in the village of Felsted (near Great Dunmow) in Essex, followed by King's College London, where he obtained a degree in Geography.",https://en.wikipedia.org/wiki?curid=10636962
104730,she,her home,Dorothy Wadham,https://en.wikipedia.org/wiki?curid=10636907,19,19,23,24,"Later in life , her writing skill and knowledge of Latin was evident , and it is likely that she was educated at her home , Ingatestone Hall , Essex .","When Dorothy's mother Gertrude Tyrrell died on 28 May 1541, she was brought up by Petre's second wife, Anne, who was also a Tyrrell by her first marriage. Later in life, her writing skill and knowledge of Latin was evident, and it is likely that she was educated at her home, Ingatestone Hall, Essex.",https://en.wikipedia.org/wiki?curid=10636907
105095,Waterlow,Marlborough College,William Waterlow,https://en.wikipedia.org/wiki?curid=53666378,0,0,4,5,Waterlow was educated at Marlborough College .,"Waterlow was educated at Marlborough College. He rose to become Managing Director of Waterlow and Sons and was knighted Knight Commander of the Order of the British Empire (KBE) in the 1919 New Year Honours. He became Alderman for Cornhill Ward and was elected a Sheriff of the City of London for 1928–29 and Lord Mayor of London for 1929–30. He was created a baronet, of Harrow Weald, on 28 October 1930.",https://en.wikipedia.org/wiki?curid=53666378
105173,Dally Jones,Harrow,Walter Dally Jones,https://en.wikipedia.org/wiki?curid=52929123,0,1,5,5,"Dally Jones was educated at Harrow and Trinity College , Cambridge before joining the Army in 1878 .","Dally Jones was educated at Harrow and Trinity College, Cambridge before joining the Army in 1878. He served in the 99th (Lanarkshire) Regiment of Foot with postings in Natal, Bermuda and the East Indies. He was appointed Deputy-Assistant-Adjutant-General for Gibraltar 1891-8 before taking on the role of press censor for General Redvers Buller during the Boer War.",https://en.wikipedia.org/wiki?curid=52929123
107413,He,Charterhouse School,Arthur Wigram Money,https://en.wikipedia.org/wiki?curid=49884645,0,0,4,5,He was educated at Charterhouse School and the Royal Military Academy .,Money was the youngest son of Gilbert Pocklington Money of the Bengal Civil Service. He was educated at Charterhouse School and the Royal Military Academy.,https://en.wikipedia.org/wiki?curid=49884645
109791,He,The Norton Knatchbull School,Alexander Arnold (actor),https://en.wikipedia.org/wiki?curid=30855837,0,0,4,7,"He was educated at The Norton Knatchbull School in Ashford , where he pursued his interests in art and drama in his GCSE choices .","Arnold was born in Ashford, Kent, the son of John and Jacqui Arnold. He has a brother and a sister. He was educated at The Norton Knatchbull School in Ashford, where he pursued his interests in art and drama in his GCSE choices. However, at the time of his role in Skins, he was studying his A-levels at Highworth Grammar School for Girls. Outside of school, he has been involved in several plays with Ashford Youth Theatre, has a great passion for bagels and was a member of the National Youth Theatre for two years.",https://en.wikipedia.org/wiki?curid=30855837
