sentence_id,main_sentence,labels
152052,"15.	באשר לאירוע במקלחת, מעידה החוקרת וקובעת בגיליון הערכת מהימנות  מיום 28/10/99 (ת/10), שעדות הילדה מהימנה.",1
324695,העדה טענה שאילו היה מצב כזה היא וודאי היתה כותבת על כך מזכר וגובה עדות נוספת מהמתלוננת.,0
350917,ענין נוסף שמקשה על אימוץ גרסתה המפלילה של המתלוננת הוא משך שהייתם המשותפת של השניים בדירת הנאשם.,3
233647,"מעיון בנ/1 ניתן ללמוד שהמתלוננת מסרה בביהמ""ש גירסה דומה ועקבית בדיוק כמו שמסרה באימרתה במשטרה.",1
176475,"כאמור, לכל השאלות הללו לא נמצא כל מענה והעדרו יצר בקיע באמינות גרסתה.",5
129134,"עדויותיהן של המתלוננות היו ענייניות, ללא סתירות משמעותיות.",4
349417,"(י) לאור כל הנימוקים הנ""ל, מסקנתי היא, שגירסתה המפלילה הראשונה של המתלוננת, היא הנכונה, וחזרתה ממנה באה רק לאחר שנוכחה לדעת שהנאשם איננו משתחרר.",5
69759,"24.	התוצאה הינה כי חרף גרסתה המהימנה של המתלוננת ושל הוריה, הצטברו מספר תהיות ושאלות שיש בהן כדי ליצור ספק סביר, בעיקר לנוכח גרסתו העקבית והקוהרנטית של הנאשם.",3
487726,"הרשעה בעבירת מין על סמך עדות יחידה של מתלוננת, דורשת הנמקה מיוחדת כאשר ההנמקה חלה על כל עבירה בנפרד ועוצמתה נגזרת מעוצמת העדות ועוצמת הבעיות המכרסמות בה.",5
146775,ניתנת האמת להיאמר – גירסתה של המתלוננת בענין זה היא מבולבלת ולא אחידה.,3
115297,"7.	די היה לי, בנסיבות העניין, לקבוע כי גרסתה של המתלוננת מהימנה עלי וגרסת הנאשם אינה אמינה עלי ולהרשיע את הנאשם, שכן עפ""י  ל ניתן להרשיע בעבירת מין על סמך עדות יחידה תוך קיום חובת ההנמקה.",0
134958,"להבדיל מהגרסה הראשונה במשטרה, הגרסה השניה של המתלוננת הפלילה את הנאשם במיוחס לו.",5
464637,"לעדותה של המתלוננת קיימת תמיכה בעדותה של האם, מרים, ובהודעת האב, ת/4, המתארות את מצבה הנפשי הקשה; בקשת הנאשם שלא תפנה למשטרה ולא תהרוס את חייו, תוך שאישר את המעשים שיוחסו לו; השינויים שחלו בהתנהגותה של המתלוננת לאחר האירוע; עדותה של מרים עוזיאל לגבי השיחות שקיימה עם המתלוננת בתכוף לאירוע המיני.",0
224087,", בשל כך שיש לפחות ספק של ממש אם לא נתנה היא את הסכמתה למעשים אלה, הרי יש בעדותה המהימנה כדי לשמש במידת הצורך חיזוק לעדויותיהן של המתלוננות האחרות, וכמפורט להלן.",5
604834,"לעדותה של המתלוננת קיימת תמיכה בעדותה של האם, מרים, ובהודעת האב, ת/4, המתארות את מצבה הנפשי הקשה; בקשת הנאשם שלא תפנה למשטרה ולא תהרוס את חייו, תוך שאישר את המעשים שיוחסו לו; השינויים שחלו בהתנהגותה של המתלוננת לאחר האירוע; עדותה של מרים עוזיאל לגבי השיחות שקיימה עם המתלוננת בתכוף לאירוע המיני.",2
202217,"מנגד, גרסת המתלוננות מהימנה, קוהרנטית, הגיונית ונתמכת בחיזוקים חיצוניים.",1
426574,"מטבע הדברים אין עדים למעשים המיוחסים לנאשם, עדותה של המתלוננת הינה עדות יחידה למעשים אשר נעשו על פי הנטען לפני כ- 5-4 שנים ונמשכו כ-5 חודשים.",3
196251,שהרי עדותה של המתלוננת עקבית היא לאורך כל הדרך.,1
631076,57.	עדות המתלוננת הייתה נקייה מסימני רצון לפגוע בנאשם או לנקום בו.,4
574607,"אני סבור כי, קיים קושי של ממש לקבל את גירסת המתלוננת כמות שהיא, כבסיס להרשעת הנאשם, ובנסיבות העניין נראה לי כי אין מנוס, לאחר בחינת הראיות שבאו בפנינו בזהירות ובקפידה רבה, מלזכות את הנאשם.",3
396772,"כאמור, לכל השאלות הללו לא נמצא כל מענה והעדרו יצר בקיע באמינות גרסתה.",3
81797,"גירסתה של המתלוננת הייתה עקבית בעיקרה, הגיונית ונתמכת בעדויות מהימנות חיצוניות, לכל אורכה.",1
285942,עדותה של המתלוננת היתה ברורה ואמינה.,1
185304,"עדותה של המתלוננת יוצרת לטעמי תמונה ברורה וחד משמעית שאינה מותירה מקום לספק בדבר מעשיו של הנאשם במקום, כאשר אין בתשובותיו ובהסבריו כדי להתמודד עמה בהצלחה.",0
378645,"במקרה שלפני, עלה בידי ההגנה לבסס באורח משמעותי את הטענה כי בזמן אמת, בסמוך לאחר האירוע, מסרה המתלוננת גרסאות עובדתיות המצויות בפער ממשי לזו שמסרה בעדותה בבית המשפט, ואשר במידת מה אף מאששות את גרסתו העקבית של הנאשם לפיה הטיל את מימיו ולא ביצע כל מעשה בעל קונוטציה מינית.",3
617513,"20.	יודגש כי אינני קובעת שעדותו של המתלונן כולה שקרית; מובטחני כי פרטים שונים שמסר, הן באשר למפגש בחדר העבודה, כמו גם פרטים אחדים באירוע שבחדר השינה - היו גם היו.",3
152052,"בנוסף, לא מצאנו בסיס שלא לקבל את ההסברים שסיפקה לכך המתלוננת בעדותה, לפיהם סמוך למקרה האונס, מערכת היחסים שלה עם בילאל הייתה רק בתחילתה ולכן נמנעה מלפרט בעניין.",1
761259,"לאור האמור, איני סובר, כי גרסת המתלוננת הינה עקבית, או שהיא הקפידה לדייק בפרטים.",2
773068,"6.	עדותה של המתלוננת הייתה, מטֶבע הדברים, העדות העיקרית לְהוֹכָחָת גירסת התביעה באישום הראשון.",2
149372,"בניגוד לעדותו של הנאשם, עדותה של המתלוננת היתה עיקבית והיא תיארה את מערכת היחסים עם הנאשם באופן ברור, הגם שהודתה כי הוא לא פעל נגד רצונה, וכי היתה זקוקה לתמיכתו ולקשר עמו מבחינה נפשית.",0
551194,"שתיים הן השאלות שעלינו להכריע בהן; האם גירסת המתלוננת מהימנה, ובמידה והתשובה לכך חיובית, האם יש להרשיע את שלושת הנאשמים בעבירות בהן הואשמו, או שמא רק את חלקם?",5
19220,"אלא שגרסת המתלוננת, מהימנה ועדיפה עלי והיא אף נתמכת הן בעדויותיהם של אמה ושל אמיל והן בראיות נוספות, כפי שיפורט:",2
19220,המתלוננת מסרה עדות עקבית ומפורטת.,4
499196,"עדותו של מתלונן 5 אינה מגבשת ממצא עובדתי ברור ומוחלט באשר למספר הפעמים בגדרן ביצע בו הנאשם את המעשים דנן, לרבות מועדם.",5
464637,"גרסת המתלוננת, לעומת זאת, הייתה כנה ואמינה.",0
228190,"ב""כ הנאשם טענה כי גרסת המתלוננת שנמסרה מספר פעמים אינה עקבית.",5
134958,"המתלוננת מסרה גרסה ארוכה ומפורטת, תוך התייחסות למקומות בהם התבצעו המעשים (באיזו דירה, באיזו שעה, ובאיזה חדר בדירה); לתחושות שחשה, הן תחושות פיזיות (למשל: ""הוא ריסס לי ונשכב עליי והחדיר לי את איבר המין שלו לפי הטבעת שלי.",1
134958,"12.	עדותה האמינה של המתלוננת, ביחס לאירועים בשהות הקצרה במעלית מתייחסת הן לדבריו של הנאשם והן למעשיו.",1
444118,"עדות המתלוננת באשר למצבה הנפשי במועד האירוע ועדות הנאשם באשר למצבה אינן מהימנות ומשקלן מועט: המתלוננת באופן עקבי מסרבת להודות, כי לסימפטומים של מחלתה \ ההפרעה הנפשית ממנה סבלה באותה העת היה קשר להתנהגותה ביום האירוע או בכלל במהלך אשפוזה.",3
444118,עדותה של המתלוננת הותירה רושם אמין של אדם מאופק ומיושב בדעתו.,4
726875,שוכנעתי כי עדות המתלוננת מהימנה ומשקפת את שאירע בפועל לגבי כל אחת מהעובדות המפורטות בכתב האישום ואף נתמכת במארג העדויות מטעם התביעה.,1
260354,תשובה שמעידה על קיומה של חוויה שבעיקרה סובייקטיבית שספק אם יש לה אחיזה במציאות.,3
260354,"זאת ועוד, המדובר בעדות כבושה וכאמור למתלוננת אין הסברים לכבישת עדותה, הן ביחס לאירוע זה והן ביחס לאירועים האחרים.",3
662831,4)	גירסת המתלוננת ביחס למקום ההתרחשות אינה אחידה.,3
73840,"אין סיבה שלא לראות במקרה דנן עדות אחת מהימנת של ילדה על מה שביצע בה המשיב, ראיה נסיבתית המסייעת לעדות האחרת.",2
91260,"לא מצאתי כי יש בנקודה זו לכשעצמה, במכלול העדות הארוכה והמפורטת של המתלוננת, אשר כללה פרטים רבים ביותר אודות חלקי אירועים, כדי לפגום במהימנותה של העדות.",1
304783,"עדותה של המתלוננת כפי שנמסרה בפנינו מפיה על דוכן העדים וכלל התנהלותה במהלך החקירה ולקראת העדות בבית המשפט, לא הייתה נקייה מקשיים.",5
