sentence_id,תיאור,title,sentence_text,query number
87269,"אינה עקבית ו מאופיינת ב סתירות מהותיות ו ב חללים פנימיים , ש באו ל ידי ביטוי , במיוחד , ב תיאורה את התנהגות של היא ו התנהגות ה נאשם ,",ME-08-1002-864,"אפתח ו אומר , כי גרסה של היא של ה מתלוננת עצמה אינה עקבית ו מאופיינת ב סתירות מהותיות ו ב חללים פנימיים , ש באו ל ידי ביטוי , במיוחד , ב תיאורה את התנהגות של היא ו התנהגות ה נאשם , ו ב ה דינמיקה ש היתה בין הם ב מהלך אותו לילה , מן הן ניתן ללמוד על קרבה אינטימית בין הם , על משיכה מינית מ צד של היא ו על הסכמה של היא ל קיום ה יחסים .",1.0
87394,אחידה,ME-08-1002-864,"ראשית , תמוה ב עין של אני , מדוע היה על ה מתלוננת , עת מבוצעים ב היא לכאורה מעשים מיניים בניגוד ל הסכמה של היא , ו כש היא עושה כל ש ל אלטידה בכדי ל הפסיקם , לציין בפני מבצע ה מעשים כי היא "" חרמנית "" ? ! שנית , גרסה זו של ה מתלוננת אינה אחידה .",1.0
87978,מהימנה,ME-10-08-28161-260,"הגנת ה נאשם ו טענה של הוא ה צריכות ל הכרעה ב הליך ה נוכחי , לנוכח ה ראיות ש הובאו ע""י ה מאשימה , מתמקדות ב כך , ש מחד גיסא אין עדות של היא של ה קטינה , כפי ש ניתנה בפני חוקרת ילדים , מהימנה כלל ו עיקר , ו מאידך גיסא - גם אין ב נמצא כל ראיית סיוע ל עדות של היא זו , דבר ש היעדרו , לפי ה חוק , חייב להוביל ל זיכוי ה נאשם .",1.0
88492,עקבית ו מדוייקת ב הזדמנויות ש ב הן ניתן ל היא לפרטה,ME-10-08-28161-260,עדות של היא ה גרעינית של ה ילדה עקבית ו מדוייקת ב הזדמנויות ש ב הן ניתן ל היא לפרטה .,1.0
90842,"ביהמ""ש לא ברור",s00003108,"ו כפי ש ציינתי שתי ה גרסאות של ה מתלוננת תואמות , מצטלבות ו משתלבות כך ש ל ביהמ""ש לא ברור מדוע בחר ה נאשם להגיש את נ/1 כ ראייה מטעם של הוא .",1.0
102071,מהימנה,ME-12-10-49947-393,"ה מישור ה אובייקטיבי לאחר ש קבעתי כי עדות של הוא של ה מתלונן מהימנה , כי אני מאמין ל מתלון של הן ש פניו של ה נאשם נחרטו ב זיכרון של הוא ב מהלך ה אירוע ו הוא מזהה את ה נאשם ב אופן וודאי , אפנה לבחון את ה אפשרות ש ה מתלונן טעה טעות כנה ב זיהוי .",1.0
104664,איתנה,ME-08-10-6212-89,"בניגוד ל גרסאה של הוא של ה נאשם , גרסה של היא של ה מתלוננת מבוססת ו איתנה .",1.0
104680,מהימנה על אני,ME-08-10-6212-89,"די היה ל אני , ב נסיבות ה עניין , לקבוע כי גרסה של היא של ה מתלוננת מהימנה על אני ו גרסת ה נאשם אינה אמינה על אני ו להרשיע את ה נאשם , שכן עפ""י ל ניתן להרשיע ב עבירת מין על סמך עדות יחידה תוך קיום חובת ה הנמקה .",1.0
106104,נקייה,SH-11-11-41874-683,"שוכנעתי כי עדות של היא של ה מתלוננת עומדת איתנה , עצמאית , בלתי תלויה , ו נקייה מ שיקולים זרים , ו ממילא מ ה רגע ב הוא הגישה את ה תלונה ב ה משטרה , עבר ה טיפול לידי ה משטרה ו רשויות ה תביעה ו חזקה ש היה מקצועי ו חסר פניות .",1.0
118001,אמינה ב עיניי,ME-12-07-17416-33,עדות של היא של ה מתלוננת ב יחס ל פגיעות ה מיניות ו ה אלימות של ה נאשם כלפי היא - אמינה ב עיניי .,1.0
118116,זאת תיאור של היא של ה מתלוננת הגיוני,ME-12-07-17416-33,"לעומת זאת תיאור של היא של ה מתלוננת הגיוני , מפורט ו תואם את נסיבות ה אירוע .",1.0
121422,איננה הגיונית,m01000232,"כמו כן , מצאתי כי גרסה של היא של ה מתלוננת ל ה עניין ה אירועים איננה הגיונית ו איננה סבירה .",1.0
121550,איננה סבירה,m01000232,גרסה זו של ה מתלוננת איננה סבירה ו אינה מהימנה .,1.0
122547,הנה רלוונטית ב סוף של הוא של דבר גם ל מחלוקת ש נותרה,M-NoPub-ZC-1-416-L,"גם עדות של היא של ה מתלוננת ת' , ה נוגעת אמנם ב עיקרה ל אירוע ה ראשון ב הוא הודה ה נאשם ב שלב ה סיכומים , הנה רלוונטית ב סוף של הוא של דבר גם ל מחלוקת ש נותרה .",1.0
133749,חלשה,ME-11-06-2965-391,"ל טענת ב""כ ה נאשם , כתב ה אישום ש הוגש נגד מ רשו מבוסס רובו הוא כ כולו הוא על עדות של היא של ה מתלוננת עצמה , ו כפי ש כבר עולה מ תיאור עדות של היא לעיל , עדות זו של ה מתלוננת חלשה במיוחד , רצופה שקרים , ו אינה ראויה ל ה משקל ה דרוש כדי להרשיע אדם ב פלילים .",1.0
133911,מקובלת על אני,ME-11-06-2965-391,"כאמור לעיל , מקובלת על אני גרסה של היא של ה מתלוננת כי לא הסכימה כלל לנסוע עם ה נאשם ו לעזוב את אולם גוטניק ללא אח של היא ו ללא מוראד , ו כי ה נאשם נעל על היא את דלתות ה רכב , ו אף מנע מן היא מ לשוחח עם אלה ש התקשרו אל היא , כש ב רצון של היא להודיע איפה נמצאת ו מה מצב של היא .",1.0
137690,אינן הגיוניות,SH-07-2293-935,נטען כי ה עדויות של ה מתלוננת ו אימה לוקות ב סתירות מהותיות ו אינן הגיוניות .,1.0
150296,איננה עקבית,ME-09-09-9012-283,עדות של היא של ה מתלוננת לגבי נאשם 2 איננה עקבית .,1.0
150617,היא עדות של היא של ה מתלוננת מהימנה,ME-09-09-9012-283,"אני מצרף דעה של אני ל דעה של היא של כב' ה שופטת רג'יניאנו לפי היא עדות של היא של ה מתלוננת מהימנה , ו עדות של הוא של ה נאשם 1 איננה מהימנה מ ה נימוקים ש פרטה ב חוות דעה של היא .",1.0
151403,אינה עקבית,m02001067-568,אף עדות של היא של ה מתלוננת ב דבר התנסות של היא ב ה עבר ב מין אנאלי אינה עקבית .,1.0
155757,שקרית,m02001242,"זאת ו עוד , ה נאשם הוסיף כי כל ה גרסה של ה מתלונן ו חבר של הוא שקרית : "" איך את יכולה להוכיח ש ה חבר של הוא לא משקר גם , כי הם היו הרי חברים .",1.0
158041,"נגד , עדות של היא של ה מתלוננת מהימנה",m99934,"מ נגד , עדות של היא של ה מתלוננת מהימנה ביותר , ו יש לבסס על היא את הכרעת - ה דין .",1.0
181922,ברור,s99003668-112,"ב נראה כי גירסה של היא של ה מתלוננת מקבלת חיזוק ברור ו מודגש מ דברי ה נאשם ב עצמו : הוא אמנם מנסה למזער את עצמת ה תקיפה ( צביטה , מכה ) , אך ברור כי ה אמת היא עם ה מתלוננת אשר גרסה של היא כאמור עקבית , אשר יציאה של היא מ ה בית עוכבה ו היא זכתה לחוש את נחת זרוע של הוא של ה נאשם .",1.0
182319,איננה חד משמעית,s023469a,"מאשר כי עדות של היא של ה מתלוננת איננה חד משמעית ( עמ' 28 ש' 12 ) , הודעות ה נאשם היו מפורשות ( ש' 22 ) ו בסוף ה חקירה - שוחרר ( ש' 27 ) על פי החלטת ק. נוער , ו ב המלצה של הוא של הוא ( ש' 30 - 31 ) .",1.0
188984,כלל אל ה פרט גרסה של היא של ה מתלוננת אינה נטולת תמיהות,s03002604-359,"מן ה כלל אל ה פרט גרסה של היא של ה מתלוננת אינה נטולת תמיהות ( כפי ש פורט כ נ""ל ) - ו על כן , לא שוכנעתי ב דבר מ הימנות של היא עד כדי מתן משקל ל היא ש יהא ב הוא די לבסס הרשעה ב פלילים .",1.0
199211,"אינה מהימנה , נוכח ה עובדה ש ב עדות של הוא של דרור ב דבר ה תיאור ש מסרה ל הוא ה מתלוננת , אין תיאור של ה אקט ה מיני עצמו , ו כן ש עדות של הוא של דרור אינה תואמת את ה גרסה ש מסרה ב בית ה משפט",ME-08-09-7365-635,"ב "" כ ה נאשם טען כי גרסה של היא של ה מתלוננת אינה מהימנה , נוכח ה עובדה ש ב עדות של הוא של דרור ב דבר ה תיאור ש מסרה ל הוא ה מתלוננת , אין תיאור של ה אקט ה מיני עצמו , ו כן ש עדות של הוא של דרור אינה תואמת את ה גרסה ש מסרה ב בית ה משפט .",1.0
208261,ברורים,s98002190,"ג. א ) בעוד ש גירסה של היא של ה מתלוננת , ב דבר מעשה של הוא של ה נאשם - כפי ש מופיעים ב כתב ה אישום - ברורים ו חד מ שמעיים , הרי ש גירסה של הוא של ה נאשם ב דבר ה חיבוק משנה צורות או "" פוזות "" ב התייחסו ל ה עובדה פשוטה מה באמת עשה .",1.0
212839,רווית סתירות,ME-10-07-44791-817,"ב""כ ה נאשם טען כי עדות של היא של ה מתלוננת "" רווית סתירות "" , ו ב היותה עדות יחידה נדרשת הנמקה ממשית ל צורך אימוצה .",1.0
212918,נאמנה אף היא ל מציאות,ME-10-07-44791-817,"עדות של היא של ה מתלוננת , באשר ל השתלשלות ה אירועים ב בית , נאמנה אף היא ל מציאות , ו יש ל העדיפה על פני תיאור של הוא ה בלתי סביר של ה נאשם , לגבי שיתוף פעולה מיני , ב הסכמה מלאה ו "" זרימה "" הרמונית , כביכול , מ צידה של ה מתלוננת .",1.0
226360,מקובלת ו מ הימנת על אני,M-NoPub-ZB-3-117-L,"כאמור , עדות של היא של ה מתלוננת מקובלת ו מ הימנת על אני , ו נותנת ביטוי אמת ל מה ש ארע .",1.0
240281,רורה,s05001085-150,"עדות של היא של ה מתלוננת מפורטת , עקבית ו ב רורה .",1.0
240408,ארוכה,s05001085-150,"עדות של היא של ה מתלוננת ב חקירה של היא ה נגדית ארוכה ו מפורטת מאוד , ו היא עמדה ב היא ב צורה ראויה ו מכובדת .",1.0
240529,מהימנה,s05001085-150,"עדות של היא של ה מתלוננת מהימנה , ו גרסתה אינה משתנה לאורך כל ה דרך ; הן ב עימות ש נערך מול ה נאשם ת/9 ו הן ב חקירות ה ראשית ו הנגדית ב בית ה משפט .",1.0
246428,אמינה ו מקובלת על אני לחלוטין גם ב נקודה אחרונה,ME-11-02-49931-817,"יובהר ו יודגש כי עדות של היא של ה מתלוננת אמינה ו מקובלת על אני לחלוטין גם ב נקודה אחרונה זו של ניסיון ה נאשם לפתוח את חולצה של היא , ו להכניס יד של הוא פנימה , חניקה של היא , עד כי התקשתה לנשום , ו אמירה של הוא "" אני יכול להרוג את אתה ו אני יכול עכשיו לשכב אית של אתה "" .",1.0
252015,אינה קוהרנטית,SH-10-11-59389-630,"כפי ש ציינתי , גרסה של היא של ה מתלוננת מעלה ספקות באשר ל אמינות של היא , ה גרסה מתפתחת , אינה קוהרנטית ו אחידה ו עקב ריבוי אי ה דיוקים ו גם שקרים ש נאמרים ללא היסוס , מעוררת ה גרסה חוסר אמון .",1.0
275503,קיימת,s00002784-201,"לפיכך אני סבורה כי ה עדות של ה מתלוננת בפני שרירה ו קיימת ו משקלה ה ראייתי נתון ל שיקול דעה של הוא של ב יהמ""ש .",1.0
276822,אינה ברורה,s02003061-156,"גירסה של היא של ה מתלוננת , את היא כאמור העלתה לראשונה כעבור כ - 5 שנים מ עת קרות ה ארועים ה מפורטים לגבי ה תקופה ה ראשונה , אינה ברורה ו אינה עיקבית .",1.0
276829,מקום ב הוא אירע ה אירוע ה מפורט ב ה פרט ה אישום ה ראשון גירסה של היא של ה מתלוננת אינה ברורה,s02003061-156,גם באשר ל ה מקום ב הוא אירע ה אירוע ה מפורט ב ה פרט ה אישום ה ראשון גירסה של היא של ה מתלוננת אינה ברורה .,1.0
277120,אינה אמינה,s02003061-156,עדות של היא של ה מתלוננת ל ה עניין פרט אישום זה אינה אמינה ב עין של אני .,1.0
277127,ענין זה ו הן ל ה עניין ה ביקור ב בית של היא אינה נטולת תמיהות,s02003061-156,גירסה זו של ה מתלוננת הן ל ענין זה ו הן ל ה עניין ה ביקור ב בית של היא אינה נטולת תמיהות ו היא אינה מהימנה על אני .,1.0
277275,אינה מהימנה ב עין של אני,s02003061-156,עדות של היא של ה מתלוננת ל ה עניין פרט זה אינה מהימנה ב עין של אני .,1.0
280313,"משולל היגיון פנימי או סבירות ( ש ניהם ביחד הכניסו ל היא יד מתחת ל חולצה ) , עד כדי כך , ש חוקרת ה ילדים מתעכבת שוב ו שוב על נקודה זו , עד ש לא ניתן יותר להמשיך ו לקבל",s08000523-108,"גם תיאור של היא של ה קטינה את אשר עשו ל היא ה סינים ה אחרים , משולל היגיון פנימי או סבירות ( ש ניהם ביחד הכניסו ל היא יד מתחת ל חולצה ) , עד כדי כך , ש חוקרת ה ילדים מתעכבת שוב ו שוב על נקודה זו , עד ש לא ניתן יותר להמשיך ו לקבל תשובה הגיונית .",1.0
283877,אינה מושלמת,s05003504-333,הלכה פסוקה היא כי אם עדות של היא של מתלוננת ב ה עבירות מין אינה מושלמת - אין פירוש של הוא של דבר ש היא אינה שלמה .,1.0
301722,אמינות,SH-10-11-13054-33,"ב אופן כללי , מצאתי את עדות של הן של כל ה מתלוננות אמינות .",1.0
311403,מושלם,ME-08-1045-33,"אכן , תיאור של היא של ה מתלוננת איננו מושלם .",1.0
325460,הגיונית,4787475,"( ב ) ה גירסה של ה מתלוננת קוהרנטית , הגיונית , עקבית ו משתלבת היטב עם עדויות ו ראיות למכביר .",1.0
335331,מהימנה,SH-09-02-15722-61,"התרשמתי כי עדות של היא של ה מתלוננת מהימנה ו כי היא תיארה את ה אירועים כהוויה של הם , ללא הפרזה .",1.0
338089,שקרית,m01953,"ברור ש אם טענת ה נאשם נכונה , הרי גירסה של היא של ה מתלוננת שקרית שכן היא העידה , מפורשות ש ה נאשם החדיר את איבר - מינו לתוך איבר - מינה ו מי ש סובל מ אימפוטנציה לא יכול לעשות כן .",1.0
350777,אמינה,ME-09-1010-27,"אב""ד מצאה את עדות של היא של ה מתלוננת אמינה ו באה ל ידי מסקנה , כי ניתן להרשיע את ה נאשם ב ה עבירות ב היא היא מציעה להרשיעו תוך התבססות על עדות של היא .",1.0
364023,"נזכר ב כך ש יחרר את נ' משבועה של הוא , אינה אמינה , הן לאחר כ בישה של היא",ME-09-12-5569-3,"ה גרסה ה מאוחרת של ה מתלונן , לפי היא סיפר ל - נ' על ה מעשים עוד ב בית ה מעצר , ו ה שביע את הוא שלא לגלות ו עתה , לאחר ש נזכר ב כך ש יחרר את נ' משבועה של הוא , אינה אמינה , הן לאחר כ בישה של היא ו הן לאור הכחשה של היא על ידי נ' , ו אי תמיכה של היא על ידי י' ש היה נוכח ב כל עת ש - נ' היה עם ה מתלונן .",1.0
365143,מהימנה,ME-09-12-5569-3,"מ שמצאתי כי גרסה של הוא של ה מתלונן מהימנה ו משכנעת ב עין של אני ו פרטתי את נימוק של אני ל מתן ה אמון ב גרסה של הוא של ה מתלונן , יש ב כך כדי מילוי דרישת חובת ה הנמקה על פי דין .",1.0
381600,חסרת היגיון ל כל אורכה,SH-07-4913-599,"ל דבר של היא , ניתן לראות כי עדות של היא של ה מתלוננת חסרת היגיון ל כל אורכה , קרי : ה גרסאות ה שונות את הן מסרה בת / 2 , בנ / 5 ו - בנ / 7 .",1.0
399239,אינה מהימנה בין ה יתר,m00001039-148,"ב""כ ה נאשם טוענים כי עדות של היא של ה מתלוננת אינה מהימנה בין ה יתר מאחר ו נתגלו ב ה הטסתירות ו אי דיוקים ל ה רוב ו דבר של היא באמרה של היא ב ה משטרה סותרים את דבר של היא ב עדות של היא ב ביהמ""ש .",1.0
430959,שיקרית,m05000543,"זאת ו עוד , ה סניגור ניסה , לאורך כל ה חקירה ה נגדית , לשכנענו כי גרסה של היא של ה מתלוננת שיקרית , בדויה ו אינה מתקבלת על ה דעת , אולם תשובה של היא ו הסבריה של ה מתלוננת היו פשוטות , ברורות ו ה גיוניות , תוך ש היא נותרה איתנה ב גרסה של היא ב חקירה ראשית .",1.0
441047,שונה,SH-08-2140-86,גרסה של היא של ה מתלוננת לגבי מהלך ה שיחה שונה .,1.0
444864,כשרה,m06003039,"כ ה ידוע , ל , ה תשט""ו - 1955 , קובע כי אמנם עדות של היא של ה מתלוננת בפני חוקרת ה ילדים כשרה להתקבל כ ה ראיה , אך אין להרשיע על - פה של היא "" אלא אם יש ל היא סיוע ב ראיה אחרת "" .",1.0
461577,אמינה,ME-16-11-9004-33,"עדות של היא של ה מתלוננת אמינה כ פליים , משכנעת ארבעתיים ו מסתברת שבעתיים .",1.0
486641,קוהרנטית,ME-09-650-116,"מן ה אמור ל עיל עולה , כי גרסה של הוא של מתלונן ב' קוהרנטית ו מ הימנה בפני עצמה .",1.0
486707,"מהימנה על אני , כש ל עצמה",ME-09-650-116,"גרסה של הוא של מתלונן ג' מהימנה על אני , כש ל עצמה , אולם ב כך לא סגי .",1.0
494976,"עקבית ל זו ש מסרה ל חוקרת ה ילדים ( ת/ 4 , ת/ 5 - קלטת ו תמליל שיחה )",s00002769-81,"גירסה של היא של ה קטינה כפי ש נשטחה עלחיד של היא ב ביהמ""ש , עקבית ל זו ש מסרה ל חוקרת ה ילדים ( ת/ 4 , ת/ 5 - קלטת ו תמליל שיחה ) .",1.0
495097,כנה,s00002769-81,"עדות של היא של ה קטינה , הן בפני חוקרת ה ילדים ו הן ב פניי , היתה שוטפת ו כנה ו היו שזורים ב היא פרטים רבים ה מעידים על אותנטיות .",1.0
496515,קוהרנטית,ME-16-02-2193-22,"מהימנות עדות ה מתלוננת עדות של היא של ה מתלוננת קוהרנטית , אותנטית , עקבית ו מעוררת אמון ו היא גם עשתה מאמץ להיצמד ל ה אמת ו להימנע מ הגזמה .",1.0
501189,נאמנה על אנחנו,m06007005-401,"יכול ש דבר של הוא אלה של ה נאשם ל מתלוננת ב נוגע ל התמצאות של הוא ב גלוד של הוא נאמרו ל צרכי ה תרברבות ב פנים של היא , אך , כאמור , גירסה של היא של ה מתלוננת , כי ה נאשם איים על היא ב עת ש היו ב רכב , ו עקב כך חדלה מ התנגדות פיזית ו איפשרה ל ה נאשם לבעול את היא , נאמנה על אנחנו .",1.0
504551,מהימנה,m08001049-106,"עדות של היא של ה מתלוננת מהימנה , היא השתדלה מאוד לדייק ו הרבתה ב פרטים לרבות נקיבת שמות של מקומות ו אנשים ש ראו את היא ו היו איתה היא ב קשר ב מהלך ה אירועים , לרבות חבר של הוא ו שותפ של הוא ל ה דירה של ה נאשם .",1.0
530706,עקבית,ME-18-06-11113-33,"גרסה של היא של ה מתלוננת עקבית כפי ש עולה גם מ בחינת ה אמרות של היא ב ה משטרה , מיד לאחר ה אירוע , ו לא התגלו סתירות או פגמים ב עדות של היא .",1.0
547468,מהימנות,ME-09-12-23471-1,מהימנות עדות של היא של ה מתלוננת ל ה נאשם ו ל מתלוננת גרסאות שונות ו סותרות באשר ל מה ש התרחש ב מחסן ב יום 11.5.09 ב עת ש שניהם שכבו עירומים על ה מזרן .,1.0
547715,אמינה,ME-09-12-23471-1,מהימנות עדות ה נאשם עדות של היא של ה מתלוננת אמינה ביותר ו ה דבר בולט על רקע אי מ הימנות של היא של עדות ה נאשם .,1.0
560973,מדויק,SH-08-6356-290,ה תיאור של ה ילדה לגבי ה סיטואציה ה ספציפית ה זו של ה נגיעה מאוד מפורט ו מדויק .,1.0
561455,אמינה,ME-14-08-35357-11,"מ הימנות של היא של ה מתלוננת ב המשך ל ה אמור ל עיל , ו ל תמיכה ב גרסת ה מתלוננת על ידי תיאור של הוא של ה עד ה ניטרלי , ראמי , אבהיר כי עדות של היא של ה מתלוננת אמינה ב עיניי .",1.0
573220,לא רק רחוקות מ להיות,m06001058-315,"לו דעה של אני היתה נשמעת , גם כש הנחת ה מוצא היא ש אין עדות מושלמת ו אין עד מושלם , גרסאה של היא של ה מתלוננת לא רק רחוקות מ להיות מושלמות אלא ש גם ה עקביות מן הן ו הלאה .",1.0
631651,"זאת , עדות של היא של ה מתלוננת קוהרנטית עם עדות של הם של ילד של היא",s03001079-299,"עם זאת , עדות של היא של ה מתלוננת קוהרנטית עם עדות של הם של ילד של היא , ש היו עדים ל מקרה - כפי ש הובאו ע""י ע""ת / 5 , ( כמו גם עם ראיות ה תביעה ה אחרות , ו ראיות ה הגנה עצמן - כפי ש יפורט להלן ) - גם ב נוגע ל זיהוי ה נאשם .",1.0
634425,מרכזית ו חשובה ל בירור אשמה של הוא של ה נאשם,m02001201-a,"עדות של היא של ה מתלוננת מרכזית ו חשובה ל בירור אשמה של הוא של ה נאשם , אלא ש היא אזרחית פיליפינית , ה שוהה ב ישראל ב אופן ש אינו חוקי .",1.0
635978,בעייתית,m02001201-a,"ראשית , עדות של היא של ה מתלוננת בעייתית , שכן אין זה מובן מדוע התביישה משותפת של היא ל ה דירה , שמא זו תראה את ה קונדום .",1.0
648258,עקביות,ME-11-07-49775-251,"עדות ה מתלוננת עדות של היא של ה מתלוננת ו אמרה של היא , מפורטות ו עקביות ו לא ניכרו ב הן סתירות מהותיות .",1.0
649096,"הלכה , גם אם עדות של היא של מתלוננת ב ה עבירות מין איננה מושלמת",m021212d,"ב יהמ""ש נדרש ל שאלת מהימנות עדות של היא של ה בת ו ציין כי הוא נותן ב היא אמון מלא ו כי לפי ה הלכה , גם אם עדות של היא של מתלוננת ב ה עבירות מין איננה מושלמת , אין פירוש של הוא ש היא איננה שלמה , מה גם ש מדובר ב קטינה ה מצויה ב ה שנים ה קריטיות ל התפתחות של היא .",1.0
650762,קוהרנטית,m021212d,"גירסה של היא של ה קטינה סדורה , עקבית ו קוהרנטית .",1.0
650775,מושלמת,m021212d,הלכה פסוקה היא כי גם אם עדות של היא של מתלוננת ב ה עבירות - מין אינה מושלמת - אין פירוש ה דבר ש היא אינה שלמה .,1.0
656728,לא ברור,SH-07-1711,"מעשים אלה אינם מחייבים כי על גוף של הוא של ה נאשם יישארו אי אלו סימנים , ב ה פרט לאור עדות של היא של ה מתלוננת כי ככל ה נראה לא גידלה ציפורניים , ו לא ברור מה היתה עוצמת ה בעיטה ב ה נאשם , ו משכך אין ב העדר סימנים כדי לשלול את גירסה של היא .",1.0
662714,ממוקדות,m05001183-370,"עדות של הן של ה מתלוננות היו מפורטות , עקביות ו ממוקדות .",1.0
662826,נקייה,m05001183-370,"לפיכך , ו כפי ש פירטתי לעיל , אני ערה ל ה עובדה , כי גרסה של הן של ה מתלוננות , מ טבע ה דברים , איננה נקייה מסתירות , אף על פי כן , "" סתירות "" אלו אינן אלא אי דיוקים ב פרטים ש אינם בהכרח רלבנטיים תמון של היא ה כוללת ו לפרטי ה עבירה , ו אין ב הן כדי להשמיט את ה קרקע תחת טענה של הן .",1.0
702540,מהימנה,SH-15-10-46643-55,"גרסת ה מאשימה התבססה על ראיות רבות , ש נארגו זו ב זו ו תמכו ב גרסה של הוא של ה מתלונן , ש את עדות של הוא מצאתי מהימנה ביותר .",1.0
733158,מאורגנת,M-NoPub-ZB-8-237-L,"אכן עדות של היא של ה מתלוננת ב ביהמ""ש אינה מאורגנת ו מסודרת , לא תמיד מתוארים ה ארועים ב סדר כרונולוגי ו אף לא ברורים ה מעברים מ ארוע אחד ל משנה של הוא .",1.0
742424,כל ה נוגע ל מעשה ה אינוס עצמו - גם כאן גירסה של היא של ה מתלוננת ברורה,m02001206,"ב כל ה נוגע ל מעשה ה אינוס עצמו - גם כאן גירסה של היא של ה מתלוננת ברורה , עקבית ו חד - משמעית .",1.0
745758,קוהרנטית,m021063,"גירסה של היא של ה מתלוננת ברורה , סדורה ו קוהרנטית .",1.0
782843,אינו נקי מ ספקות,m08001001,"אף תיאור של היא של ה מתלוננת באשר ל ה אופן קרות ה מעשים ה מגונים , נשוא ה אישום ה ראשון ו ה שני , אינו נקי מ ספקות .",1.0
798733,איננה איתנה,m06007013-431,"גרסה של היא של ה מתלוננת איננה איתנה אך מתוך עצמה , אלא היא נתמכת ו מתחזקת ב שורה של ראיות חיצוניות , ה מעבות את היא .",1.0
825950,אמינה,ME-09-06-20584-1,"אני קובע כי עדות של היא של ה מתלוננת אמינה , היא חוותה ארועים קשים של אינוס ו מעשי סדום , עדות של היא נתמכת ב סימני חדירה , הימצאות תאי זרע על גוף של היא ו ב ה מצבה ה נפשי ה קשה .",1.0
828807,לא ברור,s05004390-44,"ב סיכום של הוא של דבר טוענת שרית סבג ש היום , כאשר היא מנוסה ב חקירות , מעורבות כ ה זו של משפחה לא תתאפשר ( עמ' 257 ) , אך ב סוף של הוא של דבר עדות של היא של ה מתלוננת הייתה כל כך ארוכה ו מפורטת , ש לא ברור עד כמה ניתן היה להשפיע על היא ( עמ' 257 ) .",1.0
