sentence_id,title,query number,clean_sentence,status
80244,m02001201-a,1.0," עדותה של המתלוננת מרכזית וחשובה לבירור אשמתו של הנאשם, אלא שהיא אזרחית פיליפינית, השוהה בישראל באופן שאינו חוקי",not annotated
81797,m02001201-a,1.0,"ראשית, עדותה של המתלוננת בעייתית, שכן אין זה מובן מדוע התביישה משותפתה לדירה, שמא זו תראה את הקונדום",not annotated
96631,s00006418-192,1.0,"מצאתי כי עדותה של המתלוננת  הינה  ""חלשה"" ביותר, ולא מצאתי בחומר הראיות כל הנמקה ""ממשית"" שתתמוך בדבריה ומכאן שאני מזכה את הנאשם מעבירת המעשה המגונה מחמת הספק",not annotated
97105,ME-14-02-9030-33,1.0,"המאשימה טוענת כי עדותה של המתלוננת הייתה עקבית, כנה ומשכנעת, וניכרים בה סימני האמת",not annotated
108051,SH-09-5632-185,1.0," מסקנתי בדבר מהימנות עדות המתלוננת מתקבלת אף לאחר שבחנתי את כל אותן סתירות עליהן הצביע הסניגור, והגם שברור כי עדותה של המתלוננת לא הייתה נטולת קשיים",not annotated
114006,m07001017,1.0," לטענתה, עדותה של המתלוננת היתה עקבית ומהימנה, ותאמה את הגרסה שמסרה במשטרה, ובהתבסס עליה יש לקבוע כי הנאשם ביצע בה את המעשים המיניים המיוחסים לו, מאז היתה המתלוננת כבת 13, וזאת ללא הסכמתה",not annotated
117945,m05001044-529,1.0,"עדויותיהן של המתלוננות היו ענייניות, ללא סתירות משמעותיות",not annotated
123787,SH-08-6572-1,1.0, עדותה של המתלוננת היתה עקבית מאד,not annotated
135266,ME-09-1010-27,1.0,"בעוד שאליבא כתב האישום, האירוע המתואר לעיל, התרחש כולו באותו יום, במועד לא ידוע, במהלך ה""תקופה"", בבית המשפט הייתה גרסתה של המתלוננת ביחס לעובדה זו לא ברורה, ומכל מקום לא זהה לאמור בכתב האישום",not annotated
136526,s06002148-239,1.0,"עדותה של המתלוננת לגבי שני האירועים, בהם נרשמו מספרי הרכב היתה מבולבלת במקצת וקשה לקבוע על פי עדותה בחקירה ראשית באיזה מן הרכבים נהג הנאשם בכל אחד משני האירועים הנ""ל , היא מוסרת שהנאשם נהג ברכב 6236382  ",not annotated
140367,ME-09-1084-867,1.0,"כאמור, גרסתה של המתלוננת בעניין מעשה הסדום הייתה עקיבה ומהימנה, בעוד שגרסתו של הנאשם בעניין זה הייתה בלתי כנה, בלתי סבירה ובלתי מהימנה",not annotated
159570,ME-09-08-8687-659,1.0," לפי קביעת חוקרת הילדים, קיים קושי לקבוע כי עדותה של המתלוננת בפניה היא מהימנה",not annotated
166116,s023469a,1.0,"מאשר כי עדותה של המתלוננת איננה חד משמעית , הודעות הנאשם היו מפורשות  ובסוף החקירה - שוחרר  על פי החלטת ק",not annotated
167746,M-NoPub-ZC-1-416-L,1.0," גם עדותה של המתלוננת ת', הנוגעת אמנם בעיקרה לאירוע הראשון בו הודה הנאשם בשלב הסיכומים, הנה רלוונטית בסופו של דבר גם למחלוקת שנותרה",not annotated
168695,s02001710-515,1.0," יודגש כי אינני קובעת שעדותו של המתלונן כולה שקרית; מובטחני כי פרטים שונים שמסר, הן באשר למפגש בחדר העבודה, כמו גם פרטים אחדים באירוע שבחדר השינה - היו גם היו",not annotated
172279,s04002016-251,1.0,"אף כל עדותה בבית המשפט של המתלוננת, עדת התביעה מס' 5, היתה מהימנה עלי ולא מצאתי כל מקום וטעם לקבוע כי לא העידה אמת בבית המשפט או כי טעתה בדרך כלשהיא בטענתה כי הנאשם הוא זה שביצע בה את המעשים המגונים, תוך הפעלת כוח כנגדה",not annotated
176475,s05003504-333,1.0,הלכה פסוקה היא כי אם עדותה של מתלוננת בעבירות מין אינה מושלמת – אין פירושו של דבר שהיא אינה שלמה,not annotated
176753,s05003504-333,1.0,"עדותה של המתלוננת בבית המשפט, היתה אמינה ולא נסתרה בחקירה נגדית בכל הקשור במעגל הפנימי המתייחס לעובדות נשוא כתב האישום",not annotated
177934,s05001085-150,1.0,"עדותה של המתלוננת בחקירתה הנגדית ארוכה ומפורטת מאוד, והיא עמדה בה בצורה ראויה ומכובדת",not annotated
178055,s05001085-150,1.0,"עדותה של המתלוננת מהימנה, וגרסתה אינה משתנה לאורך כל הדרך; הן בעימות שנערך מול הנאשם ת/9 והן בחקירות הראשית והנגדית בבית המשפט",not annotated
178486,s05001085-150,1.0,"בניגוד לעדותו של הנאשם, עדותה של המתלוננת היתה עיקבית והיא תיארה את מערכת היחסים עם הנאשם באופן ברור, הגם שהודתה כי הוא לא פעל נגד רצונה, וכי היתה זקוקה לתמיכתו ולקשר עמו מבחינה נפשית",not annotated
178685,s00009709-474,1.0,"סיכומו של דבר: עדותה של המתלוננת ברורה ומקבלת חיזוק מלא מן הראיות ובעיקר, מעדותו של הנאשם בעצמו הממקם עצמו לא רק במקום האירוע אלא גם בגוף האירוע דהיינו, בגופה של המתלוננת אותה הוא תוקף, פיזית ומינית",not annotated
196949,m05000543,1.0," זאת ועוד, הסניגור ניסה, לאורך כל החקירה הנגדית, לשכנענו כי גרסתה של המתלוננת שיקרית, בדויה ואינה מתקבלת על הדעת, אולם תשובותיה והסבריה של המתלוננת היו פשוטות, ברורות והגיוניות, תוך שהיא נותרה איתנה בגרסתה בחקירה ראשית",not annotated
198173,m06007005-401,1.0," יכול שדבריו אלה של הנאשם למתלוננת בנוגע להתמצאותו בג'ודו נאמרו לצרכי התרברבות בפניה, אך, כאמור, גירסתה של המתלוננת, כי הנאשם איים עליה בעת שהיו ברכב, ועקב כך חדלה מהתנגדות פיזית ואיפשרה לנאשם לבעול אותה, נאמנה עלינו",not annotated
199125,SH-11-11-50610-711,1.0," עדותה של המתלוננת הייתה עקבית החל מגרסתה בעימות בינה לבין הנאשם, שהתקיים במשטרה כחצי שנה לאחר האירוע  וכלה בעדותה בבית המשפט",not annotated
200458,s00003258-220,1.0,"מאחר וקבעתי כי עדותה של המתלוננת לעניין האירוע אמינה וגירסתו של הנאשם אף מחזקת אותה , באשר לקיומה של הנשיקה בלא הסכמתה הממשית פוזיטיבית של המתלוננת כנדרש עפ""י הסעיף, ולכן מתקיים היסוד הפיסי של העבירה",not annotated
203483,ME-15-07-28768-44,1.0, גרסתה של המתלוננת בעניין זה לא היתה ברורה,not annotated
224288,ME-09-1002-752,1.0," ניתן להצביע על כך שגירסתה של המתלוננת במשטרה, בחקירותיה ובמסגרת העימות, כמו גם בעדותה בבית-המשפט, הינה עקבית, ואף נתמכת בראייה חיצונית בעלת משקל של ממש   ולכן ניתן היה להעדיפה על פני עדותו של הנאשם לפיה יחסי המין נעשו בהסכמה",not annotated
226262,ME-11-10-363-44,1.0, מעשים אלו לא יוחסו לנאשם בכתב האישום וגרסתו של המתלונן בנקודה זו הייתה סותרת ומבולבלת באופן מעורר ספק,not annotated
226298,ME-11-10-363-44,1.0,"גם הפעם לא אתייחס בהכרעת דיני לאותן נגיעות נוספות עליהן העיד המתלונן, שכן הנאשם לא הואשם במעשים אלו ועדותו של המתלונן לגביהם הייתה מבולבלת ולא עקבית",not annotated
231057,ME-15-05-26580-949,1.0,התרשמתי כי עדותה של המתלוננת הנה אותנטית,not annotated
231273,ME-15-05-26580-949,1.0,לסיכום: התרשמתי כי גרסתה של המתלוננת מהימנה ועקבית,not annotated
233647,ME-08-10-6212-89,1.0," די היה לי, בנסיבות העניין, לקבוע כי גרסתה של המתלוננת מהימנה עלי וגרסת הנאשם אינה אמינה עלי ולהרשיע את הנאשם, שכן עפ""י  ל ניתן להרשיע בעבירת מין על סמך עדות יחידה תוך קיום חובת ההנמקה",not annotated
236800,SH-09-09-8105-83,1.0,"אני קובע אפוא כי גרסתה של המתלוננת אמינה לחלוטין, ובמיוחד בצירוף תכיפות התלונה והמצב הנפשי שנלווה אליה",not annotated
237389,m06003042-275,1.0,"הסיוע נדרש הן לעצם ביצוע העבירה והן לזיהויו של מבצע העבירה  385, עמ' 406) ומשקלו הראייתי משתנה בהתאם למשקל הראייתי של העדות הטעונה סיוע; כך, מקום שמהימנות עדותו של המתלונן גבוהה היא, ניתן להסתפק בראיית סיוע בעלת משקל לא רב, ולהפך  292, 302)",not annotated
243287,ME-15-02-10663-33,1.0," העדות בעבירות אלה עוסקת מעצם טבעה בנושא טראומתי ואינטימי כאחד, ועל כן מתעורר לפעמים קושי במתן עדות סדורה ורהוטה, למרות זאת עדותה של המתלוננת בתיקנו הייתה מדויקת כאמור ברורה, סדורה וקוהרנטית",not annotated
244175,s011805,1.0," למרות זאת, עדותה של המתלוננת הייתה עקבית ולא התגלו בה סתירות",not annotated
258725,ME-10-01-28729-1,1.0," חשוב לציין כבר כאן כי עדותה זו של המתלוננת בפנינו היתה רצופה שתיקות, הפסקות ובכי",not annotated
268138,s00001440-279,1.0, ניתנת האמת להיאמר – גירסתה של המתלוננת בענין זה היא מבולבלת ולא אחידה,not annotated
268927,m021212d,1.0," ביהמ""ש נדרש לשאלת מהימנות עדותה של הבת וציין כי הוא נותן בה אמון מלא וכי לפי ההלכה, גם אם עדותה של מתלוננת בעבירות מין איננה מושלמת, אין פירושו שהיא איננה שלֵמה, מה גם שמדובר בקטינה המצויה בשנים הקריטיוֹת להתפתחותה",not annotated
270606,m021212d,1.0,הֲלָכָה פסוקה היא כי גם אם עדותה של מתלוננת בעבירות-מין אינה מושלמת - אין פירוש הדבר שהיא אינה שלֵמה,not annotated
271813,s01777,1.0," גירסתה של המתלוננת, בעיקרה, בכל הקשור לאירוע אשר התרחש בצומת קסטינה, מקובלת עלי",not annotated
285942,m00925,1.0," כבר בפתח דבר ראוי לציין, כי – ולהבדיל מעדותה ביחס לאירועים נשוא האישום הראשון והשני – עדותה הראשית  של המתלוננת, ביחס לאירועים נשוא האישום השלישי, בו קא עסקינן עתה, לא היתה סדורה, כולי האי, במובן זה שבה, בלבד, לא היה כדי לבסס את כל המעשים המיוחסים לנאשם באישום זה",not annotated
286635,k00018098p,1.0," עדותה של המתלוננת, על אף הסתירות שבה, היתה מהימנה עלינו",not annotated
291528,s05002659-374,1.0,"ראשית, גירסתה של המתלוננת לעניין זה היתה עקבית",not annotated
294122,s002412,1.0,עוד טוען הנאשם כי גירסתה של המתלוננת היא בלתי אפשרית מאחר והוא אינו מכסה את בנותיו אלא אשתו,not annotated
294224,s002412,1.0,עדותה של המתלוננת הנתמכת בראיות נוספות אמינה עלי על כל חלקיה ואני מעדיפה אותה ללא סייג על עדותו של הנאשם,not annotated
302116,M-NoPub-ZB-5-282-L,1.0,"עדותה של המתלוננת, שהייתה הנדבך המרכזי בתשתית זו, הייתה אמינה ושיקפה את המציאות כפי שהתרחשה",not annotated
302913,s03001079-299,1.0,"עם זאת, עדותה של המתלוננת קוהרנטית עם עדויותיהם של ילדיה, שהיו עדים למקרה – כפי שהובאו ע""י ע""ת/5,  – גם בנוגע לזיהוי הנאשם",not annotated
308519,s015210,1.0," לטענתו כאילו אין גירסתה של המתלוננת מהימנה משום שלא הרימה קול צעקה, או משום שלא התקשרה מיד למשטרה לאו טענה היא בנסיבות",not annotated
309096,SH-09-02-15722-61,1.0,"התרשמתי כי עדותה של המתלוננת מהימנה וכי היא תיארה את האירועים כהווייתם, ללא הפרזה",not annotated
309817,ME-06-1036-45,1.0,"עדות הנאשם עדותה של המתלוננת היתה מהימנה עלינו מהסיבות שפורטו לעיל, ואנו מעדיפים אותה על פני עדות הנאשם, אשר לא הרשימה אותנו בכנותה ואמינותה, ואנו מטילים בה ספק",not annotated
322091,M-NoPub-ZB-3-117-L,1.0," כאמור, עדותה של המתלוננת מקובלת ומהימנת עלי, ונותנת ביטוי אמת למה שארע",not annotated
323902,ME-12-09-33735-44,1.0,עדותה של המתלוננת מהימנה ויש להעדיף אותה על פני עדותו של הנאשם,not annotated
323917,ME-12-09-33735-44,1.0," עדותה של המתלוננת אמינה, עקבית והגיונית, עדות אשר יש לה חיזוקים מעדים שונים, מראיות נוספות ומכוונים שונים",not annotated
324690,ME-12-09-33735-44,1.0,"  לאחר שמיעת העדויות ולאור מכלול הראיות, הגעתי לכלל מסקנה כי עדותה של המתלוננת מהימנה ואני מעדיפה אותה על פני עדותו של הנאשם",not annotated
325778,m99934,1.0," מנגד, עדותה של המתלוננת מהימנה ביותר, ויש לבסס עליה את הכרעת-הדין",not annotated
328187,m08001086-173,1.0,"אכן עדותה של המתלוננת כבושה היתה שנים הרבה, אך היא הסבירה היטב את הסיבה לכבישת הדברים",not annotated
329250,m98004159,1.0," ככלל אציין, שעדותו של המתלונן היתה דלה בפרטים, והאופן שבה הועברה תאמה, כך נראה, גם את התרשמות הגורמים המטפלים שהעידו בפנינו על אודות מאפייניו האישיים, בדגש על דבריה של הפסיכולוגית, ד""ר רות פוריסמן",not annotated
329257,m98004159,1.0," התרשמתי גם, כי לא קלה היתה עדותו של המתלונן, שדמעות נקוו בעיניו מיד עם תחילת המשפט, כשהצביע על הנאשם",not annotated
335929,ME-09-09-9012-283,1.0,  עדותה של המתלוננת לגבי  נאשם 2 איננה עקבית,not annotated
335976,ME-09-09-9012-283,1.0, העדות של המתלוננת הייתה אותנטית ולא היה בה רצון לנקמה,not annotated
336228,ME-09-09-9012-283,1.0,"עם אחר, היתה עדותה של המתלוננת חדה במיוחד, כאשר העידה כיצד היא שבה וחשה זאת באופן מדויק גם בעת עדותה, והעבירה לנו תחושה זו באופן מצמרר",not annotated
336250,ME-09-09-9012-283,1.0,"אני מצרף דעתי לדעתה של כב' השופטת רג'יניאנו לפיה עדותה של המתלוננת מהימנה, ועדותו של הנאשם 1 איננה מהימנה מהנימוקים שפרטה בחוות דעתה",not annotated
338305,s03002604-359,1.0,"מן הכלל אל הפרט גרסתה של המתלוננת אינה נטולת תמיהות  – ועל כן, לא שוכנעתי בדבר מהימנותה עד כדי מתן משקל לה שיהא בו די לבסס הרשעה בפלילים",not annotated
339635,SH-07-1532-247,1.0,"עדותו הנ""ל של המתלונן היתה מבולבלת, מתחמקת, בלתי ברורה לא  עקבית כלל",not annotated
339650,SH-07-1532-247,1.0," התרשמתי כי עדותו הנ""ל של המתלונן לא היתה מהימנה כלל, וההסבר שמסר ליישב את הסתירה בין דבריו במשטרה לבין גרסתו בבית המשפט, לא היה משכנע כלל",not annotated
339699,SH-07-1532-247,1.0," יש לציין כי עדותו של המתלונן, לעניין התלונות הקודמות הנ""ל, לא היתה עקבית כלל",not annotated
340188,ME-12-10-49947-393,1.0,"המישור האובייקטיבי לאחר שקבעתי כי עדותו של המתלונן מהימנה, כי אני מאמין למתלונן שפניו של הנאשם נחרטו בזיכרונו במהלך האירוע והוא מזהה את הנאשם באופן וודאי, אפנה לבחון את האפשרות שהמתלונן טעה טעות כנה בזיהוי",not annotated
343123,ME-10-07-44791-817,1.0,"ב""כ הנאשם טען כי עדותה של המתלוננת ""רווית סתירות"", ובהיותה עדות יחידה  נדרשת הנמקה ממשית לצורך אימוצה",not annotated
343192,ME-10-07-44791-817,1.0, עדותה של המתלוננת הייתה מאופקת,not annotated
343202,ME-10-07-44791-817,1.0,"עדותה של המתלוננת, באשר להשתלשלות האירועים בבית, נאמנה אף היא למציאות, ויש להעדיפה על פני תיאורו הבלתי סביר של הנאשם, לגבי שיתוף פעולה מיני, בהסכמה מלאה ו""זרימה"" הרמונית, כביכול, מצידה של המתלוננת",not annotated
350666,m01967,1.0," עדותה של המתלוננת היא ברורה, סדורה ומאד אמינה, היא מתארת את מהלך האירועים אליהם נקלעה כי רצתה לעזור לס', את הלחצים בהם היתה נתונה מצידו של ס' להשאר עוד ועוד, עד כי נזנחה על ידו ונאנסה על ידי הנאשם",not annotated
350714,m01967,1.0, מקובלת עלי עדותה של המתלוננת שהיתה מאד נרגשת במשטרה ויתכן ונרשם בטעות שהסכין היתה לידו ולא בידו,not annotated
351663,s02005082-239,1.0,"לטענתו, גירסתה של המתלוננת שהעידה כי נכנסה לחדר שבו היה נוכח בכדי לנטרל את האזעקה, אינה הגיונית משום שמערכת האזעקה חולשת על כל המתחם ולכן לא יכול להיות מצב שימצא מישהו בחדר מבלי שהאזעקה תפעל",not annotated
360749,m984143,1.0,"אכן עדותה של המתלוננת בביהמ""ש אינה מאורגנת ומסודרת, לא תמיד מתוארים הארועים בסדר כרונולוגי ואף לא ברורים המעברים מארוע אחד למשנהו",not annotated
362593,s98004022-339,1.0,"התרשמתי מעדות הנאשם כבלתי אמינה, שעה שעדותו של המתלונן היתה אמינה, וניכר היה במתלונן שמעשה הנאשם השאיר בו צלקות",not annotated
363038,ME-18-06-11113-33,1.0,"גרסתה של המתלוננת עקבית כפי שעולה גם מבחינת האמרות שלה במשטרה, מיד לאחר האירוע, ולא התגלו סתירות או פגמים בעדותה",not annotated
367486,m08000502-117,1.0, עדותה של המתלוננת בבית-המשפט הייתה כללית ולא מפורטת,not annotated
367538,m08000502-117,1.0," זאת ועוד אחרת: עדותה של המתלוננת בבית-המשפט, שהפלילה את הנאשם במכלול העבירות שיוחסו לו, הן במוצאי שבת והן באירועים הנוספים, הייתה כללית ולא מפורטת",not annotated
374340,M973087,1.0,"עדותה של המתלוננת, שהייתה הנדבך המרכזי בתשתית זו, הייתה אמינה ושיקפה את המציאות כפי שהתרחשה",not annotated
376872,SH-08-2140-86,1.0,גרסתה של המתלוננת לגבי מהלך השיחה שונה,not annotated
377064,SH-08-2140-86,1.0," מצאתי כי עדותה של המתלוננת היא עקבית ואם קיימים שינויים, לא מדובר בשינויים מהותיים היורדים לשורשו של עניין",not annotated
382268,SH-07-2430-626,1.0,"לעניין אירוע זה של הסטת החולצה ונגיעה בחזה התרשמתי כי גרסתה של המתלוננת, אינה אמינה",not annotated
383117,sh-10-10-45907-651,1.0,"הסנגור טוען כי עדותה של המתלוננת מוגזמת וכי תיאוריה לא משתלבים במבחן ההיגיון והשכל הישר, כאשר לדבריה התהלכה ברחוב, כ- 20 דקות, בעוד הנאשם  צמוד אליה, וממשיך לנגוע בישבנה כאשר כלבה לידה, וכי תשובתה לעניין זה אינה הגיונית, כאשר היא טוענת כי לא רצתה לשסות את כלבה בנאשם כדי שהכלב לא ילקח להסגר",not annotated
385707,s06006342-527,1.0, עדותה של המתלוננת אמינה עלי ואני נותנת בה אמון מלא,not annotated
387626,ME-13-12-18407-932,1.0,"לטענת התביעה, עדותה של המתלוננת מהימנה, היא לא ניסתה להפריז ולהשחיר את פניו של הנאשם",not annotated
387771,ME-13-12-18407-932,1.0, גרעין העדות: חרף הסתירות שהובאו בשני הסעיפים הקודמים אני סבור כי עדותה של המתלוננת מהימנה,not annotated
389421,M-NoPub-ZB-8-237-L,1.0,"אכן עדותה של המתלוננת בביהמ""ש אינה מאורגנת ומסודרת, לא תמיד מתוארים הארועים בסדר כרונולוגי ואף לא ברורים המעברים מארוע אחד למשנהו",not annotated
393185,ME-19-05-470887-11,1.0,"גרסתו של המתלונן בעימות למה שקרה בביקור הראשון אצל הנאשם הייתה דומה, אלא שלדבריו כבר בתחילת המפגש ביניהם הנאשם שאל אותו להפתעתו אם יש לו ריח בזרע, ובהמשך הנאשם לא הפנה אותו לאורולוג אלא ביצע ביוזמתו בדיקת ערמונית למתלונן, לאחר שהמתלונן טען כי הוא סובל מכאבים",not annotated
393591,ME-19-05-470887-11,1.0," הגרסה של המתלונן היא הגיונית וקוהרנטית, והמתלונן היה עקבי בפרטים המהותיים שבה",not annotated
396772,m06003039,1.0," אמנם, עדותה של המתלוננת בבית המשפט הייתה לקונית ולעתים בלתי ברורה",not annotated
397357,m06003039,1.0,"כידוע,  ל, התשט""ו-1955, קובע כי אמנם עדותה של המתלוננת בפני חוקרת הילדים כשרה להתקבל כראיה, אך אין להרשיע על-פיה ""אלא אם יש לה סיוע בראיה אחרת""",not annotated
397369,m06003039,1.0,"הסיוע נדרש הן לעצם ביצוע העבירה והן לזיהויו של מבצע העבירה  385, 406), ומשקלו הראייתי משתנים בהתאם למשקל הראייתי של העדות הטעונה סיוע: כך, מקום שמהימנות עדותו של המתלונן גבוהה היא, ניתן להסתפק בראיית סיוע בעלת משקל לא רב, ולהפך  292, 302)",not annotated
398579,s021336a,1.0, גירסתו של המתלונן היתה אמינה עלי ונמצאו לה ראיות מסייעות ומחזקות,not annotated
405991,SH-09-5632-267,1.0," מסקנתי בדבר מהימנות עדות המתלוננת מתקבלת אף לאחר שבחנתי את כל אותן סתירות עליהן הצביע הסניגור, והגם שברור כי עדותה של המתלוננת לא הייתה נטולת קשיים",not annotated
407581,ME-09-09-1430-1-1,1.0," עדותה של המתלוננת הייתה עקבית, היא לא הגזימה וניכר היה שהיא מספרת עובדות כהווייתן, כפי שהיא חוותה אותן",not annotated
414571,SH-12-12-39158-44,1.0,"עדותה של המתלוננת הייתה עקבית, קוהרנטית, צלולה ומדויקת",not annotated
426574,ME-10-08-28161-260,1.0, עדותה הגרעינית של הילדה עקבית ומדוייקת בהזדמנויות שבהן ניתן לה לפרטה,not annotated
432419,s04001906-255,1.0, עדותה של המתלוננת היתה בהירה וסדורה ועשתה רושם אמין על בית המשפט,not annotated
466414,m995167,1.0, רצופה בשקרים  ומתואמת עם עדות אמה ולפיכך אין ליתן בה אמון,not annotated
476690,ME-09-12-5569-3,1.0,"הגרסה המאוחרת של המתלונן, לפיה סיפר ל- נ' על המעשים עוד בבית המעצר, והשביע אותו שלא לגלות ועתה, לאחר שנזכר בכך שיחרר את נ' משבועתו, אינה אמינה, הן לאחר כבישתה והן לאור הכחשתה על ידי נ', ואי תמיכתה על ידי י' שהיה נוכח בכל עת ש- נ' היה עם המתלונן",not annotated
477810,ME-09-12-5569-3,1.0,"משמצאתי כי גרסתו של המתלונן מהימנה ומשכנעת בעיני ופרטתי את נימוקי למתן האמון בגרסתו של המתלונן, יש בכך כדי מילוי דרישת חובת ההנמקה על פי דין",not annotated
488008,m02001067-568,1.0, אף עדותה של המתלוננת בדבר התנסותה בעבר במין אנאלי אינה עקבית,not annotated
490692,SH-08-1102-198,1.0," כך, עדותה של המתלוננת איתנה היא, יציבה ומהימנה, ולא נתגלו בה סתירות כלשהן לאורך כל ההליך",not annotated
498977,ME-12-07-39094-303,1.0,"לטענת המאשימה, עדותה של המתלוננת הייתה מהימנה, נעדרת הגזמה ונטולת אינטרס להפליל את הנאשם",not annotated
502992,m02001206,1.0," בכל הנוגע למעשה האינוס עצמו - גם כאן גירסתה של המתלוננת ברורה, עִקבית וחד-משמעית",not annotated
506419,ME-07-4063,1.0,"ניתן לומר כי עדותה של המתלוננת, הייתה קוהרנטית, קולחת, בעלת היגיון פנימי, והשתלבה במסכת הראיות שנפרשה בפנינו,  כפי שנראה להלן",not annotated
512264,m97000952-7,1.0," שכן, לא מתקבל על הדעת שבחורה שבוצעו בה מעשים מיניים בניגוד לרצונה ובכפיה, פעמיים, לטענתה, תמשיך להיפגש עם מי שכפה עליה יחסים אלו, ולקיים איתו יחסי מין מרצון כאילו לא אירע דבר; והיא הנותנת – כך על פי הטענה – כי גירסתה של המתלוננת הינה שיקרית",not annotated
517185,m011068a,1.0, הנאשם כפר בעובדות החמורות המיוחסות לו וטען כי גרסתן של   המתלוננות  הינה חסרת שחר,not annotated
525382,m03001069,1.0," גירסתה של המתלוננת עִקבית היא, ברורה וּבלתי-מתחמקת",not annotated
527315,m05001183-370,1.0," לפיכך, וכפי שפירטתי לעיל, אני ערה לעובדה, כי גרסתן של המתלוננות, מטבע הדברים, איננה נקייה מסתירות, אף על פי כן, ""סתירות"" אלו אינן אלא אי דיוקים בפרטים שאינם בהכרח רלבנטיים תמונה הכוללת ולפרטי העבירה, ואין בהן כדי להשמיט את הקרקע תחת טענותיהן",not annotated
