sentence_id,title,query number,clean_sentence,status,tagger,label,start_ind,end_ind,label2
305057,ME-08-1157-524,12,"מכל מקום, וזה החשוב, מצפייה בחקירה המתועדת אין לי ספק, כי גרסתה המפלילה של המתלוננת כפי שנמסרה משקפת בצורה נכונה את מה שארע במציאות בינה לבין הנאשם",annotated,איתי,not relevant,342.0,343.0,
305210,ME-08-1157-524,5," עפ""י  לפקודה – אם ההרשעה היא על סמך עדותה היחידה של המתלוננת – ""בית המשפט יפרט בהכרעת הדין מה הניע אותו להסתפק בעדות זו",annotated,איתי,אמינה בגלל חיזוקים חיצוניים,462.0,464.0,
108031,SH-09-5632-185,5,עדותה המהימנה של המתלוננת,annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),122.0,126.0,אמינה בגלל חיזוקים חיצוניים
210860,k26398p,3,"מסקנת ביניים: לאור המובא לעיל, ומשמצאתי כי גירסת  המתלוננת אמינה, ומשראיתי כי מצבה הנפשי, אף אם באיחור, היה הבעה כנה של מצוקה וטראומה שבה שרויה המתלוננת כתוצאה מהחוויות הקשות שחוותה עם הנאשם, הגעתי למסקנה כי התביעה הצליחה להוכיח מעל לספק סביר, כי הנאשם עבר את עבירות המין והאיומים שמיוחסות לו בכתב האישום",annotated,איתי, רושם אמין של המתלוננת לעומת הנאשם,277.0,282.0,אמינה בגלל חיזוקים חיצוניים
336195,ME-09-09-9012-283,5,"בהיות עדות המתלוננת עדות יחידה, כרסום זה מתווסף לתהיות שעלו בעדותה לגבי נ/5, ואלה הביאו אותי למסקנה שלא ניתן לבסס ממצאים מרשיעים על יסוד עדותה היחידה של המתלוננת לגבי העבירות המיוחסות לנאשם 2",annotated,איתי,לא אמינה כי לא עקבית/ לא אחידה. + הסבר,570.0,573.0,
285787,m00925,5,"סיכומו של דבר, לא רק שבעדות השנייה והשלישית של המתלוננת לא היה כדי לערער את מהימנות גירסתה בעדותה הראשונה והמקורית – שעליה, בין היתר, מבוססת הכרעת דין זו – אלא היה בהן, אף כדי להוסיף יתר נופך ויתר חיזוק, בכל הקשור למהימנות גירסתה המקורית של המתלוננת",annotated,איתי,not relevant,485.0,486.0,
48380,SH-13-08-24175-34,5,"מכל האמור כאשר מציבה אני את עדותה החד משמעית והמהימנה של המתלוננת אל מול עדות הנאשם – המגלמת גרסה מופרכת ונעדרת כל הסבר ומניע אפשרי מצד המתלוננת לטפול כנגדו תלונה כוזבת, המסקנה היא שיש לבכרה על פניה",annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),120.0,121.0,
484349,ME-09-1143-989,7," כפי שציינה חוקרת הילדים, עדות הילדה הייתה עקבית, מדוייקת, קוהרנטית ומפורטת",annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),588.0,589.0,
369303,SH-13-02-47-54,15, כבר עמדתי על כך שהמתלוננת הינה עדה אמינה בעיניי,annotated,איתי,אמינה בגלל חיזוקים חיצוניים,410.0,413.0,
244175,s011805,1," למרות זאת, עדותה של המתלוננת הייתה עקבית ולא התגלו בה סתירות",annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),263.0,264.0,
648679,ME-09-650-116,9," לאחר עיון בתמלילי חקירתו של המתלונן א' , וצפייה בדיסק המתעד את החקירה , הותירה בי עדותו של מתלונן א' רושם חיובי",annotated,איתי,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),369.0,377.0,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע)
203483,ME-15-07-28768-44,1, גרסתה של המתלוננת בעניין זה לא היתה ברורה,annotated,איתי,לא אמינה כי לא עקבית/ לא אחידה. + הסבר,1304.0,1308.0,
73702,SH-15-06-23701-11,5," חלו לאורך זמן התפתחויות בגרסתה העובדתית של המתלוננת, ובהעדר כל ראיה מפלילה נוספת, די בכך על מנת לקבוע כי מתעוררות ספקות אשר אינן מאפשרות ביסוס ממצא וודאי על גרסתה הנוכחית",annotated,איתי,לא אמינה כי לא עקבית/ לא אחידה. + הסבר,17.0,18.0,
707534,ME-10-09-31383-790,3," עדות המתלוננת הייתה סדורה, והמתלוננת לא התבלבלה אף שסיפרה על אירוע בן שלבים אחדים",annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),517.0,518.0,
368231,m08000502-117,5,"קל וחומר, שאין לבסס הרשעה פלילית על פי עדותה הנ""ל של המתלוננת, שכן, ראינו, כי במשפט העברי הפלילי, רף הראיות הוא גבוה במיוחד",annotated,איתי,not relevant,863.0,864.0,
168695,s02001710-515,1," יודגש כי אינני קובעת שעדותו של המתלונן כולה שקרית; מובטחני כי פרטים שונים שמסר, הן באשר למפגש בחדר העבודה, כמו גם פרטים אחדים באירוע שבחדר השינה - היו גם היו",annotated,איתי,לא אמינה כי נקמנית/לא אותנטית/ממציאה (מיתוסי אונס ברקע),165.0,167.0,
196013,SH-11-04-25817-156,5,"ככלל, אין מניעה שהרשעה בעבירת מין תושתת על סמך עדות יחידה של מתלוננת, כאשר עדות זו נמצאה עדות משכנעת, אמינה, וניתן לתת לה את מלוא המשקל הראייתי",annotated,איתי,not relevant,112.0,113.0,
339635,SH-07-1532-247,12,"עדותו הנ""ל של המתלונן היתה מבולבלת, מתחמקת, בלתי ברורה לא  עקבית כלל",annotated,איתי,לא אמינה כי לא עקבית/ לא אחידה. + הסבר,35.0,36.0,
73396,m03001200,1, שהרי עדותה של המתלוננת עקבית היא לאורך כל הדרך,annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),682.0,683.0,
364102,ME-09-1117-4,3,"עוד ציין כי גרסת המתלוננת שקרית וכי היא הוכוונה על ידי מח""ש מאחר וטענה בפני בית המשפט דברים אשר לא עלו בהודעותיה הקודמות",annotated,איתי,not relevant,108.0,110.0,
553922,me-06-3028,5,"זאת ועוד, המדובר בעדות כבושה וכאמור למתלוננת אין הסברים לכבישת עדותה, הן ביחס לאירוע זה והן ביחס לאירועים האחרים",annotated,איתי,לא אמינה כי לא עקבית/ לא אחידה. + הסבר,697.0,698.0,
103564,ME-16-07-27231-55,3," יש להוסיף עוד, כי עדות המתלוננת בנקודה זו ברורה לחלוטין",annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),509.0,512.0,
386922,SH-15-05-39587-736,5,"ככל שהושמט פרט עובדתי בעדותה הראשונה של המתלוננת, זהו פרט המתייחס לכך שבמהלך האירוע נכנסה אישה לחדר השירותים, וזה מה שגרם לקטיעת האירוע לשני מקטעים, הנאשם ברח, ולאחר מכן הוא חזר לשירותים, והמשיך לבצע את זממו",annotated,איתי,not relevant,81.0,84.0,
117945,m05001044-529,1,"עדויותיהן של המתלוננות היו ענייניות, ללא סתירות משמעותיות",annotated,איתי,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),319.0,322.0,
307857,s03003063-11,7,"ב""כ הנאשם טענה כי גרסת המתלוננת שנמסרה מספר פעמים אינה עקבית",annotated,איתי,אמינה עם בעיות (אולי לחבר לקטגוריה שלמעלה),241.0,243.0,
155844,ME-13-10-20400-22,3, מדברי חוקרת הילדים עלה כי עדות המתלוננת הגיונית ועקבית וכללה פרטים ייחודיים וסנסוריים המלמדים על אמיתותה,annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),66.0,67.0,
786892,ME-13-05-3045-11,5,"מלשון הסעיף עולה כי בית-המשפט רשאי להסתמך על עדות יחידה של מתלוננת, ובלבד שיפרט מה הניע אותו להסתפק בעדות זו",annotated,איתי,not relevant,1208.0,1210.0,
519158,s98001190-19,4,", בשל כך שיש לפחות ספק של ממש אם לא נתנה היא את הסכמתה למעשים אלה, הרי יש בעדותה המהימנה כדי לשמש במידת הצורך חיזוק לעדויותיהן של המתלוננות האחרות, וכמפורט להלן",annotated,איתי,אמינה עם בעיות (אולי לחבר לקטגוריה שלמעלה),234.0,235.0,
737223,s04004141-354,17, המתלוננת ככלל הותירה רושם אמין,annotated,איתי,אמינה עם בעיות (אולי לחבר לקטגוריה שלמעלה),307.0,309.0,
464621,ME-09-127-726,5,"בנוסף, איננו רואים באי-אזכורו של דהן כמי שסיפרה לו על חוויית האונס, אלא לראשונה בהליכים אלו , כעדות כבושה של המתלוננת",annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),3577.0,3578.0,
91260,ME-15-11-4139-531,5," לאחר עדותה המוקדמת של המתלוננת, ביקש הנאשם לתקן את תשובתו לאישום",annotated,איתי,not relevant,26.0,30.0,
233722,ME-08-10-6212-89,3," לטענת ההגנה, גרסת המתלוננת לפיה היא נדרשה לפשוט את בגדיה ולשכב על הקרקע בתנוחות שונות תוך כדי ביצוע המעשים המיוחסים לנאשם אינה נכונה וזאת מאחר שלא נמצאו חבלות על גופה בעת הבדיקה הגופנית בבית החולים למעט הנפיחות בלסת",annotated,איתי,not relevant,654.0,655.0,
792440,M-NoPub-ZC-1-131-L,12," לאור כל הנימוקים הנ""ל, מסקנתי היא, שגירסתה המפלילה הראשונה של המתלוננת, היא הנכונה, וחזרתה ממנה באה רק לאחר שנוכחה לדעת שהנאשם איננו משתחרר",annotated,איתי,אמינה עם בעיות (אולי לחבר לקטגוריה שלמעלה),157.0,160.0,
354881,ME-11-02-34952-76,5,"לעומת גרסתה המהימנה, הסבירה והוודאית של המתלוננת, הסתבך הנאשם בשלושה שקרים מהותיים",annotated,איתי, רושם אמין של המתלוננת לעומת הנאשם,418.0,419.0,
655164,s02003061-156,1,עדותה של המתלוננת לעניין פרט אישום זה אינה אמינה בעיני,annotated,איתי,not relevant,368.0,369.0,
663625,ME-11-06-51536-78,1, עדותה של המתלוננת היתה ברורה ואמינה,annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),1429.0,1431.0,
524099,m03001069,14," עדותה של המתלוננת הייתה, מטֶבע הדברים, העדות העיקרית לְהוֹכָחָת גירסת התביעה באישום הראשון",annotated,איתי,אמינה בגלל חיזוקים חיצוניים,77.0,80.0,
152052,ME-09-02-12962,3,"  מנגד, גרסת המתלוננות מהימנה, קוהרנטית, הגיונית ונתמכת בחיזוקים חיצוניים",annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),800.0,801.0,
324695,ME-12-09-33735-44,8,"המתלוננת מסרה גרסה ארוכה ומפורטת, תוך התייחסות למקומות בהם התבצעו המעשים ; לתחושות שחשה, הן תחושות פיזיות (למשל: ""הוא ריסס לי ונשכב עליי והחדיר לי את איבר המין שלו לפי הטבעת שלי",annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),666.0,670.0,
350917,s03002485-311,17,"  מבחינת העדויות ניתן ללמוד כי מלבד העובדה שהמתלוננת הותירה רושם אמין, ולא חזרה בה מגירסתה לגבי ההתרחשויות ולגבי מה שאירע בינה לבין הנאשם, היא גם לא הגזימה ולא העצימה את הפרטים ודבקה בגירסתה כפי שהיא לכל אורך הדרך",annotated,איתי,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),126.0,128.0,
233647,ME-08-10-6212-89,1," די היה לי, בנסיבות העניין, לקבוע כי גרסתה של המתלוננת מהימנה עלי וגרסת הנאשם אינה אמינה עלי ולהרשיע את הנאשם, שכן עפ""י  ל ניתן להרשיע בעבירת מין על סמך עדות יחידה תוך קיום חובת ההנמקה",annotated,איתי, רושם אמין של המתלוננת לעומת הנאשם,608.0,609.0,
176475,s05003504-333,1,הלכה פסוקה היא כי אם עדותה של מתלוננת בעבירות מין אינה מושלמת – אין פירושו של דבר שהיא אינה שלמה,annotated,איתי,אמינה עם בעיות (אולי לחבר לקטגוריה שלמעלה),210.0,213.0,
707555,ME-10-09-31383-790,14," לטענת ב""כ הנאשם, עדותה של המתלוננת היא עדות כבושה משום שנמסרה שבוע לאחר האירוע הנטען",annotated,איתי,not relevant,528.0,529.0,
129134,SH-11-04-33622-55,7,"גרסת המתלוננת, לעומת זאת, הייתה כנה ואמינה",annotated,איתי, רושם אמין של המתלוננת לעומת הנאשם,95.0,98.0,
349417,s005064,5,"במקרה דנן עניין לנו בעבירות מין, עבירות שמעצם טיבן וייחודן מתבצעות בדרך כלל בצנעה, רחוק מהעין, בנוכחות העבריין וקורבנו בלבד ועל כן, כל מה שיש בפני בית המשפט הן עדויות קוטביות של המתלונן כנגד הנאשם ",annotated,איתי,אמינה בגלל חיזוקים חיצוניים,29.0,32.0,
258592,ME-10-01-28729-1,9,"  המאשימה סבורה גם כי עדותה של המתלוננת בבית המשפט, אף כי היתה קטועה ורצופת שתיקות, הותירה רושם מהימן",annotated,איתי,not relevant,98.0,99.0,
82161,m02001201-a,5," הפן הראייתי בכל הנוגע לעבירת האינוס ל , התשל""א- 1971, ביטל את דרישת הסיוע לעדות של קורבן עבירת מין וקבע במקומה חובת ""הנמקה"", לפיה רשאי בית המשפט להסתמך על עדות יחידה של מתלוננת ובלבד שיפרט מה הניע אותו להסתפק בעדות זו",annotated,איתי,not relevant,1618.0,1619.0,
351663,s02005082-239,1,"לטענתו, גירסתה של המתלוננת שהעידה כי נכנסה לחדר שבו היה נוכח בכדי לנטרל את האזעקה, אינה הגיונית משום שמערכת האזעקה חולשת על כל המתחם ולכן לא יכול להיות מצב שימצא מישהו בחדר מבלי שהאזעקה תפעל",annotated,איתי,not relevant,205.0,206.0,
37827,m04001141-a,4,"די לנו כי גם באישום זה פעל עופר כיד המכוונת, וכמנהג בעלים, דבר הנתמך גם בגרסתן של המתלוננות הנוספות",annotated,איתי,not relevant,1613.0,1614.0,
69759,SH-09-2568-196,5,"לא נעלמה מעיני העובדה שמדובר בהרשעה על סמך עדות יחידה של המתלוננת, אך חרף זאת מצאתי שניתן להסתפק בעדות זו לצורך הרשעה",annotated,איתי,אמינה עם בעיות (אולי לחבר לקטגוריה שלמעלה),43.0,44.0,
38004,m04001141-a,4," כפי שפתחנו את הדיון באישום הראשון, כך גם באישום זה, עלינו להידרש לשאלה האם יש מקום ליתן אמון בעדותן של המתלוננות הנוספות, או שמא עדותן נובעת מאותם מניעים שפורטו לעיל",annotated,איתי,not relevant,1795.0,1803.0,
346247,ME-10-02-21084-807,5," כיום, בטלה דרישת ה""סיוע"" וניתן להרשיע נאשם בעבירת מין על פי עדותה היחידה של המתלוננת, ובלבד, שבית המשפט ינמק בהכרעת הדין מדוע החליט להרשיע את הנאשם על סמך עדות זו",annotated,איתי,not relevant,320.0,323.0,
164232,m02001242,5," סתירות מהותיות אלו מצביעות על כך שהנאשם שיקר, בעיקר לאור בחינת גרסתו העקבית וההגיונית של המתלונן, שנתמכת בדברי חברו ואנשי המשטרה, רס""ר שלמה ממן ומשה פורשר, אשר דבריהם משלימים ומאששים כאמור, אלה את אלה",annotated,איתי,not relevant,570.0,571.0,
487726,m03001032,5,ענין נוסף שמקשה על אימוץ גרסתה המפלילה של המתלוננת הוא משך שהייתם המשותפת של השניים בדירת הנאשם,annotated,איתי,לא אמינה כי לא עקבית/ לא אחידה. + הסבר,87.0,88.0,
51482,SH-19-04-58417-55,3,"ההגנה טענה, כי עדות המתלוננת כבושה, מתפתחת, רווית בקיעים, פרכות וסתירות וכי מהווה ""משענת קנה רצוץ""",annotated,איתי,not relevant,1068.0,1069.0,
146775,m07004039,5," בענייננו נראה לי שלא היה זה בטוח להשתית את הרשעת המערער על עדותה היחידה של המתלוננת, הלוקה כאמור, בסתירות ובתמיהות",annotated,איתי,לא אמינה כי לא עקבית/ לא אחידה. + הסבר,1111.0,1112.0,
852404,s05004390-44,3,"לגבי הקשר הוירטואלי, גירסאות המתלוננת והנאשם דומות, וניתן לקבוע לפיהן כי השניים הכירו בצ'ט, ""שוחחו"" פעם אחת בצ'ט למשך זמן ארוך, והשיחות הבאות ביניהם היו בטלפון",annotated,איתי,not relevant,44.0,46.0,
570891,ME-12-11-37527-22,7,"לשיטתו, גרסת המתלוננת שקרית ועדותה, לטענתו, בלתי אמינה, בנסיבות בהן ראיות שהובאו, סתרו אותה",annotated,איתי,not relevant,344.0,345.0,
800246,ME-08-1002-864,5," עדותה של עדה זו הינה קריטית לבחינת גרסתה הראשונה של המתלוננת הן מאחר שעדה זו היתה הראשונה לשמוע את גרסתה והן מן הטעם שמשלב זה ואילך, בפני כל יתר חברותיה, אמה ואחרים  אומרת המתלוננת מפורשות, כי היא נאנסה",annotated,איתי,not relevant,567.0,568.0,
115297,ME-10-06-20601-774,9, עדותה של המתלוננת בבית המשפט עשתה רושם מהימן ביותר,annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),389.0,394.0,
134958,ME-09-1010-27,7,"מצאתי כי גרסת המתלוננת באשר להשתלשלות האירוע הרביעי מהימנה ונתמכת בראיות חיצוניות, בשונה מגרסת הנאשם המופרכת על פניה, לה לא נתתי כל אמון",annotated,איתי,אמינה בגלל חיזוקים חיצוניים,671.0,672.0,
73832,SH-15-06-23701-11,5," לטעמי, בנסיבות שהובאו בפני, אין די בעדותה הנחרצת של המתלוננת בעדותה בפני כדי להסיר הספקות המתעוררים במקרה זה, ואפרט",annotated,איתי,"""אמינה אבל""- העדה אמינה אבל אי אפשר להרשיע. מגוון סיבות (הרבה פעמים עדות יחידה)",135.0,143.0,
464637,ME-09-127-726,13,"בנוסף, לא מצאנו בסיס שלא לקבל את ההסברים שסיפקה לכך המתלוננת בעדותה, לפיהם סמוך למקרה האונס, מערכת היחסים שלה עם בילאל הייתה רק בתחילתה ולכן נמנעה מלפרט בעניין",annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),3586.0,3587.0,
224087,ME-09-1002-752,17, המתלוננת א' עשתה עלי רושם אמין,annotated,איתי,אמינה בגלל חיזוקים חיצוניים,2359.0,2361.0,
604834,m06007025-296,12," גרסתה המיידית של המתלוננת תואמת את עדותה, ובעת שמסרה את תלונתה המיידית לא ידעה כי שיחתה הוקלטה",annotated,איתי,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),929.0,930.0,
303683,s04004944-197,5,"מידת הוכחה זו, של הספק הסביר, מקבלת משנה תוקף וזהירות כאשר מדובר בהרשעה על פי עדות יחידה של מתלוננת",annotated,איתי,not relevant,296.0,297.0,
202217,s00011239-243,5," מה גם, שכאמור, עדותה האמינה של המתלוננת גם לגבי נגיעת הנאשם בעכוזה, די בה גם לענין זה",annotated,איתי,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),138.0,139.0,
426574,ME-10-08-28161-260,12, עדותה הגרעינית של הילדה עקבית ומדוייקת בהזדמנויות שבהן ניתן לה לפרטה,annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),655.0,656.0,
196251,SH-11-04-25817-156,3, עדות המתלוננת הייתה נקייה מסימני רצון לפגוע בנאשם או לנקום בו,annotated,איתי,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),252.0,253.0,
97105,ME-14-02-9030-33,1,"המאשימה טוענת כי עדותה של המתלוננת הייתה עקבית, כנה ומשכנעת, וניכרים בה סימני האמת",annotated,איתי,not relevant,94.0,95.0,
631076,ME-12-09-42383-690,5," התוצאה הינה כי חרף גרסתה המהימנה של המתלוננת ושל הוריה, הצטברו מספר תהיות ושאלות שיש בהן כדי ליצור ספק סביר, בעיקר לנוכח גרסתו העקבית והקוהרנטית של הנאשם",annotated,איתי,not relevant,433.0,434.0,
304783,ME-08-1157-524,5,"להבדיל מהגרסה הראשונה במשטרה, הגרסה השניה של המתלוננת הפלילה את הנאשם במיוחס לו",annotated,איתי,not relevant,74.0,75.0,
574607,m06003055,7," עדות המתלוננת גירסתה של המתלוננת הייתה עקבית בעיקרה, הגיונית ונתמכת בעדויות מהימנות חיצוניות, לכל אורכה",annotated,איתי,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע),388.0,389.0,
396772,m06003039,1," אמנם, עדותה של המתלוננת בבית המשפט הייתה לקונית ולעתים בלתי ברורה",annotated,איתי,לא אמינה כי לא עקבית/ לא אחידה. + הסבר,762.0,763.0,
81797,m02001201-a,1,"ראשית, עדותה של המתלוננת בעייתית, שכן אין זה מובן מדוע התביישה משותפתה לדירה, שמא זו תראה את הקונדום",annotated,איתי,לא אמינה כי נקמנית/לא אותנטית/ממציאה (מיתוסי אונס ברקע),1289.0,1290.0,
285942,m00925,5," כבר בפתח דבר ראוי לציין, כי – ולהבדיל מעדותה ביחס לאירועים נשוא האישום הראשון והשני – עדותה הראשית  של המתלוננת, ביחס לאירועים נשוא האישום השלישי, בו קא עסקינן עתה, לא היתה סדורה, כולי האי, במובן זה שבה, בלבד, לא היה כדי לבסס את כל המעשים המיוחסים לנאשם באישום זה",annotated,איתי,לא אמינה כי לא עקבית/ לא אחידה. + הסבר,615.0,616.0,
185304,SH-08-2974-556,5,"לפיכך, מסקנתי היא שעל אף שאני נוטה ליתן אמון בגרסתה הבסיסית של המתלוננת לפיה הנאשם אכן נישק אותה על שפתיה וליטף את גבה, הרי שלא שוכנעתי כי ניתן לקבוע את המסקנה האמורה מעבר לספק סביר",annotated,איתי,not relevant,159.0,160.0,
115676,ME-11-07-21438-1,7,מהימנות עדות המתלוננת ועדויות י,annotated,איתי,רושם אמין של המתלוננת :לא נקמנית. לא בדתה או המציאה ( מיתוסי אונס ברקע),266.0,270.0,רושם אמין - אמינה: בהירה. פשוטה. אותנטית. (אין מיתוסים ברקע)
291530,s05002659-374,17," כאמור, עוררה המתלוננת רושם אמין ביותר בעדותה, ואני מאמין לה גם בנקודה זו",annotated,איתי,not relevant,197.0,198.0,
199250,SH-11-11-50610-711,6,"בנדון דנן, התביעה הביאה ראיות ישירות הקושרות את הנאשם לעבירות המיוחסות לו, ובעיקרן עדויות המתלוננת, נינה ודוד, אשר היו מהימנות בעיני כמפורט לעיל",annotated,איתי,אמינה בגלל חיזוקים חיצוניים,314.0,315.0,
257599,SH-09-12-25181-569,14,"אולם, אפילו, היתה עדותה של המתלוננת עדות יחידה הרי שניתן היה להרשיע את הנאשם על סמך עדות זו",annotated,איתי,אמינה בגלל חיזוקים חיצוניים,625.0,628.0,
778517,m011154,5," לעומת גירסתה האָמינה והמהימנה של המתלוננת, והראיות הנוספות התומכות בה כאמור לעיל, הרושם העולה מעדותו של הנאשם ומניתוח גירסאותיו הוא שלילי             ובלתי-אמין בעליל",annotated,איתי, רושם אמין של המתלוננת לעומת הנאשם,1762.0,1763.0,
362604,s98004022-339,3,"למעשה כאשר אמינה היתה עלי עדות המתלונן הרי כל הארוע היה בהפעלת כוח, תפיסת הנאשם את המתלונן על מנת שלא יברח ושיבצע את רצונו",not annotated,איתי,,,,
19220,m06003021,11," עדותה של המתלוננת נמשכה על פני ישיבות רבות, במהלכן הופסקה העדות פעמים רבות",not annotated,איתי,,,,
353265,SH-08-5595-390,3,"  לשון אחר: לטענת הנאשם,  גרסת המתלוננת, לפיה המעשים נשוא כתב האישום בוצעו בה במהלך הסיור, תוך כדי נסיעה ברכב הטומקאר – כלל איננה אפשרית מבחינה עובדתית",not annotated,איתי,,,,
93600,ME-12-06-24991-111,5,"בנוסף חשוב להזכיר כי כיום ניתן לבסס הרשעה על עדותו היחידה של מתלונן בעבירות מין, גם מבלי שנמצא חיזוק ואפנה בענין זה לפסק דינו של השופט א' א' לוי:",not annotated,איתי,,,,
574668,m06003055,5,"מצבה הנפשי של המתלוננת לאורך השנים והזדקקותה לטיפול פסיכולוגי מתמשך עקב טראומת אינוס, כפי שהעידה הפסיכולוגית מ' – מתווספים לשאר הראיות שמניתי ואשר יש בהן  לתמוך, לאשש ולחזק את גירסתה האמינה של המתלוננת",not annotated,איתי,,,,
467504,m995167,5,"אין סיבה שלא לראות במקרה דנן עדות אחת מהימנת של ילדה על מה שביצע בה המשיב, ראיה נסיבתית המסייעת לעדות האחרת",not annotated,איתי,,,,
