sentence_id,title,query number,clean_sentence,status,tagger
369031,SH-13-02-47-54,5.0," מקובלים עליי הסבריו של האחראי על החקירה, השוטר קץ, כי החקירה היתה נתונה בסד זמנים צפוף - הן עקב היותו של החשוד עצור, והן עקב העובדה שהמתלוננת היתה אמורה לחזור לארה""ב והיה צריך להספיק להשלים את החקירה, ובמידת הצורך להותיר זמן מספיק להגשת כתב-אישום ולגביית עדות מוקדמת מהמתלוננת טרם עזיבתה את הארץ ",not annotated,רננה
172051,s04008848-171,17.0, מתלוננת 1 עשתה עלי רושם אמין ביותר,not annotated,רננה
831890,ME-09-06-20584-1,3.0,לאחר מכן תשאל השאלה האם אמינה גרסת המתלוננת והאם אכן בוצעו בה עבירות מין קשות,not annotated,רננה
746308,SH-10-08-5793-300,1.0, מנגד גרסתו של מתלונן 1 בעניין זה לא הייתה אחידה כאשר במשטרה סיפר כי הנאשם ניסה לנשקו מספר פעמים ואילו בבית המשפט העיד כי מדובר על פעם אחת בלבד,not annotated,רננה
196011,SH-11-04-25817-156,14.0," עדותה של המתלוננת היא כאמור העדות העיקרית מטעם התביעה, והיא גם העדות היחידה לגבי האירוע נשוא כתב האישום, שכן, בעת האירוע נכחו המתלוננת והנאשם בלבד",not annotated,רננה
477810,ME-09-12-5569-3,1.0,"משמצאתי כי גרסתו של המתלונן מהימנה ומשכנעת בעיני ופרטתי את נימוקי למתן האמון בגרסתו של המתלונן, יש בכך כדי מילוי דרישת חובת ההנמקה על פי דין",not annotated,רננה
228190,ME-18-05-19391-55,5.0,"ניתן להרשיע בעבירות מין גם על בסיס עדות יחידה של מתלוננת הגם שנדרשת הנמקה  תשל""א-1971; ע""פ  נור נ' מדינת ישראל, נו 205 ;  גנדור נ' מדינת ישראל, מב 045 ;  פלוני נ' מדינת ישראל (01",not annotated,רננה
322603,m03000984,5.0,"  החיזוקים לעדות המתלוננת ניתן להרשיע את הנאשם על סמך עדותה היחידה של המתלוננת כיון שאני מאמין לגרסתה, אין בה פרכות, אין בה סתירות והיא אמינה בעוד עדותו של הנאשם בלתי אמינה ואינני מאמין לטענתו שהמתלוננת נבעלה לו מרצונה",not annotated,רננה
643043,m00000232-320,9.0,עדותה של המתלוננת מקבלת חיזוק נוסף מהודאתו של דניס לפני בוריס סיפר לו על כך שהוא קיים איתה מין אוראלי וכן מהודאות שני הנאשמים שהם חזרו ואיימו עליה שהם יספרו לכל העיר שהיא זונה,not annotated,רננה
115676,ME-11-07-21438-1,7.0,מהימנות עדות המתלוננת ועדויות י,not annotated,רננה
779483,ME-12-06-50756-499,5.0," אולם, נוכח התמיהות בעדותו, אין בעדות הנאשם משקל מספיק כדי לעורר ספק סביר מול עדותה החזקה והמחוזקת של המתלוננת",not annotated,רננה
409876,ME-20-01-13777-33,12.0,על כן ראיתי לקבוע כי גרסתן המפורטת של המתלוננות מגוללת במדויק את אשר עולל להן הנאשם עת היו ילדות רכות בגילאי שש עד שלוש עשרה שנים,not annotated,רננה
257350,SH-09-12-25181-569,12.0,"לא מצאתי כי יש בנקודה זו לכשעצמה, במכלול העדות הארוכה והמפורטת של המתלוננת, אשר כללה פרטים רבים ביותר אודות חלקי אירועים, כדי לפגום במהימנותה של העדות",not annotated,רננה
617513,m07008007-405,9.0,"עדותו של מתלונן 5 אינה מגבשת ממצא עובדתי ברור ומוחלט באשר למספר הפעמים בגדרן ביצע בו הנאשם את המעשים דנן, לרבות מועדם",not annotated,רננה
229857,ME-13-03-23362-44,3.0,"דיון בראיות הישירות: אקדים ואומר - נמצא לי, שעדות המתלוננת אמינה וראויה למתן משקל רב, וכי, שטחה בפנינו  את אשר אירע לה באמת ובתמים: סאגה של פגיעה מינית בה, ואלימות אחרת, מצד אביה- הנאשם, לאורך שנים ארוכות",not annotated,רננה
852404,s05004390-44,7.0,"לגבי הקשר הוירטואלי, גירסאות המתלוננת והנאשם דומות, וניתן לקבוע לפיהן כי השניים הכירו בצ'ט, ""שוחחו"" פעם אחת בצ'ט למשך זמן ארוך, והשיחות הבאות ביניהם היו בטלפון",not annotated,רננה
566308,s06002247-262,2.0,"כאמור לעיל, לא די בכך שעדות המתלוננת תהיה סבירה יותר מזו של הנאשם",not annotated,רננה
77018,m03001164,1.0,"את מסקנתה כי גירסתה של המתלוננת מהימנה היא וכי חוותה על גופה את אשר תיארה בפניה, ביססה חוקרת-הילדים, כך העידה, על ה""פאזל"" שנבנה על-יסוד ניתוח חקירתה של המתלוננת, לאחר עיון נוסף בתִּמְלוּל וּצפייה בקלטת החקירה",not annotated,רננה
574607,m06003055,1.0," עדות המתלוננת גירסתה של המתלוננת הייתה עקבית בעיקרה, הגיונית ונתמכת בעדויות מהימנות חיצוניות, לכל אורכה",not annotated,רננה
310528,ME-11-06-2577-640,8.0," בפני חוקרת הילדים ובפני בית המשפט העידה המתלוננת עדות דומה באשר לנסיבות האירוע והתרחשותו – סבה ישב על ידה בכיסא נפרד, באולם התפילה",not annotated,רננה
431804,ME-08-1047-463,5.0," גם כאן, גרסתה הראשונית של המתלוננת מסתברת יותר ומתיישבת עם יתר הראיות ועם התמונה הכללית כפי שזו משתקפת מהעובדות המוסכמות ומתיאורי הרקע בעדותה שלה",not annotated,רננה
368924,SH-13-02-47-54,5.0, אף צפיתי במלוא הקלטת של העדות המוקדמת של המתלוננת לפני כב' השופט שמעוני,not annotated,רננה
485118,s00003824-279,17.0,"אודה, כי המתלוננת בעדותה הותירה בליבי רושם חיובי ונתגלו בה אותות אמת",not annotated,רננה
277429,m99000948-a,17.0,המתלוננת עשתה עלי רושם מהימן ואינני מיחס חשיבות לכל התמיהות והסתירות שבא כוח הנאשם ניסה להראות בסיכומיו,not annotated,רננה
429680,SH-09-1642-679,5.0," עדותה האמינה של המתלוננת מאפשר הכרעה על בסיסה גם במידת ההוכחה הנדרשת במשפט פלילי ולעדות זו חיזוק כמפורט לעיל, המבסס את אמינותה",not annotated,רננה
502297,m02001206,14.0," כפי שצויין לעיל, עדותה של המתלוננת כמו במקרים דומים אחרים, הינה העדות העיקרית למעשֵׂי העבירה המיוחסים לנאשם בתיק דנא",not annotated,רננה
805817,ME-16-06-33538-22,17.0," ככלל, המתלוננת עשתה רושם מהימן על בית המשפט ולא ראינו מקום לפקפק בעדותה",not annotated,רננה
62184,ME-09-1063-277,1.0," עדותה של המתלוננת כפי שנמסרה בפנינו מפיה על דוכן העדים וכלל התנהלותה במהלך החקירה ולקראת העדות בבית המשפט, לא הייתה נקייה מקשיים",not annotated,רננה
159938,SH-08-3142-769,3.0," מהאמור לעיל עולה, כי גרסת המתלוננת מהימנה לחלוטין, ואין שום ספק שהמתלוננת העידה אמת בבית-המשפט",not annotated,רננה
258567,ME-10-01-28729-1,5.0,"מלשון הסעיף עולה כי בית-המשפט רשאי להסתמך על עדות יחידה של מתלוננת, ובלבד שיפרט מה הניע אותו להסתפק בעדות זו",not annotated,רננה
160189,SH-08-3142-769,17.0," כאמור לעיל, המתלוננת עשתה רושם מהימן ביותר, ולאור סימני האמת העולים מעדותה, ניכר כי המתלוננת העידה אמת, ועל אף הזהירות הרבה הנדרשת כאשר מדובר בגרסת מתלוננת כנגד גרסת הנאשם, שוכנעתי כי במקרה דנן יש מקום לקבל את גרסת המתלוננת ולהעדיפה על פני גרסת הנאשם, וזאת מכל הטעמים האמורים לעיל",not annotated,רננה
373031,SH-13-01-16029-335,5.0," אפשר שלו הייתה מתבצעת פעולת חקירה זו ניתן היה גם ללמוד על גרסתה הראשונית של המתלוננת, שכאמור לעיל, ידעה שינויים מאז רישומם מפיה על ידי גורמי החקירה ועד הבאתם לבית המשפט, לאחר פגישת הריענון בפרקליטות",not annotated,רננה
433519,SH-09-11-13880-227,5.0,"סוף דבר – לאחר שבית המשפט הזהיר את עצמו שלפניו עדותה היחידה של המתלוננת, על סמך תוכנה המידתי של התלונה ואותות האמת שבה, התמיכה שתומכים בה עדויות האם והשוטר, מתבססת מסקנה שיש לקבל עדות המתלוננת במלואה ולהעדיפה על גרסתו המתכחשת של הנאשם, שנדחתה מחוסר אימון",not annotated,רננה
715980,s03004300-278,9.0," בהקשר זה, מעלה גרסתה של המתלוננת בפניי אבו ספק ממשי, המעוגן בראיות, בשאלת מהימנותה של המתלוננת",not annotated,רננה
152052,ME-09-02-12962,3.0,"  מנגד, גרסת המתלוננות מהימנה, קוהרנטית, הגיונית ונתמכת בחיזוקים חיצוניים",not annotated,רננה
417085,m06003016,17.0,"המתלוננת בעדותה הראשונה עשתה רושם אמין ביותר; למרות גילה הצעיר, עדותה הייתה כשל נערה בוגרת לכל עניין ודבר",not annotated,רננה
702351,SH-07-2293-935,5.0,"בפני מ' הוצגה הגרסה השלישית לפיה המתלוננת הח'טה לנקום בנאשם בעקבות סירובו להסיע אותה  והיא ניסתה לסחוט את הנאשם בשיחה הטלפונית עם שאול, שאם הנאשם לא יתן לה 50,000 ₪  היא תספר לא' את הסיפור והוא ירצח אותו ",not annotated,רננה
549123,k020299p,1.0," עדותה של המתלוננת הייתה אמינה, כנה, טבעית- מדי פעם פרצה המתלוננת בבכי ולעיתים הגיבה בכעס - ונתתי בה אמון מלא",not annotated,רננה
773061,ME-11-08-19586-11,3.0," המאשימה טענה כי עדות המתלוננת היתה עקבית לכל אורך הדרך, וכי ניתן להתרשם שאין סתירות בין הודעותיה במשטרה  לבין עדותה בבית המשפט",not annotated,רננה
410880,ME-20-01-13777-33,8.0, נוכחתי כי הדברים כפי שהוצגו בפני המתלוננת היו מטעים שעה שהמתלוננת מסרה גרסה זהה בנדון במשטרה ,not annotated,רננה
277170,m99000948-a,17.0, המתלוננת עשתה עלי רושם מהימן,not annotated,רננה
9351,SH-10-11-34300-792,8.0," כבר כעת אציין כי מלבד גרעין דבריה של המתלוננת כפי שהובא בעובדות כתב האישום המתלוננת סיפרה גרסאות נוספות, ופרטים רבים נוספים שאינם  מתיישבים זה עם זה  וכי יש בהודעותיה הן בפני מר הרן והן בפני בית המשפט סתירות פנימיות רבות כפי שאפרט בהמשך",not annotated,רננה
547817,m02001238,6.0," העידה ואישרה בכך את גירסת המתלוננת, כי הנאשם ""ישן תמיד עירום""      וכי בוודאות ראתה אותו שוכב עירום במיטה ",not annotated,רננה
793031,SH-08-1573-907,5.0,"סבורה אני כי בעניין שלפנינו ניתן לראות בראיית הסיוע שנמצאה ""סיוע"" מספיק כדי לקיים את הדרישה של ראיה עצמאית התומכת בגירסה המפלילה של המתלונן, וכי בנסיבות העניין אין צורך בראיות נוספות לעניין זיהוי הנאשם כדי להרשיעו",not annotated,רננה
407650,ME-09-09-1430-1-1,5.0,"כל אלו וכפי שיובהר עוד גם להלן, שכנעו אותי כי ניתן להסתפק בעדותה היחידה של המתלוננת, לגבי עובדות שבמחלוקת",not annotated,רננה
394718,M-NoPub-ZC-1-046-L,3.0,גרסת הילדה טבעית וספונטנית,not annotated,רננה
799784,ME-08-1002-864,1.0," ראשית, תמוה בעיני, מדוע היה על המתלוננת, עת מבוצעים בה לכאורה מעשים מיניים בניגוד להסכמתה, וכשהיא עושה כל שלאל ידה בכדי להפסיקם, לציין בפני מבצע המעשים כי היא ""חרמנית""?! שנית, גרסה זו של המתלוננת אינה אחידה",not annotated,רננה
730997,s998267,17.0,"                  ואומר כבר עתה כי המתלוננת, בהופעתה בביהמ""ש, הותירה רושם חיובי ביותר וגם ההגנה אינה חולקת על כך",not annotated,רננה
275170,s013125a,17.0," המתלוננת השאירה רושם אמין, רושם של אישה פתוחה מאוד ועם זאת אישה חזקה, אישה שאיננה נרתעת ממשימות קשות ומהתמודדות עם קשיים",not annotated,רננה
77678,m03001164,5.0,"שמענו את עֵדוּתָהּ הארוכה והמפורטת של המתלוננת, ויכולנו להתרשם בּאֹרַח בלתי-אמצעי מאוֹפיָיה, התנהגותה ואופן מסירת עֵדוּתָהּ, על רקע גִּילָהּ הצעיר וּמַצָּבַהּ המיוחד, וּלאורך חקירה לא-קלה",not annotated,רננה
193079,m97000938,5.0,"לגרסה זאת שהמתלוננת העלילה על הנאשם עלילת כזב עקב אמירתו שיעזוב את כנרת, אין כל תימוכין בחומר הראיות, פרט לעדויות המאוחרות של המתלוננת והנאשם בבית המשפט, שאינן נראות לי סבירות ומהימנות, והן נועדו כאמור לנסות לחלץ את הנאשם מהרשעה ומענישה",not annotated,רננה
141388,ME-13-07-36795-33,5.0,"בנסיבות יש לקבוע, כי גרסתו של הנאשם היא בלתי אמינה שקרסה אל מול עדויות מהימנות של המתלוננות שעמדו ב""מכבש לחצים"" לא קל",not annotated,רננה
368097,m08000502-117,3.0," גרסת המתלוננת היא כה רעועה, כה שברירית, ומלאה סתירות וחזרות כרימון, שאינני יכול לקבוע כל ממצא על פיה, לא כל שכן, שאינני יכול – כמצוות המחוקק - לפרט ולהסביר, כיצד הכרעת דין מרשיעה בעבירות המין שבהם הואשם הנאשם, מבוססת על עדות יחידה זו",not annotated,רננה
51482,SH-19-04-58417-55,3.0,"ההגנה טענה, כי עדות המתלוננת כבושה, מתפתחת, רווית בקיעים, פרכות וסתירות וכי מהווה ""משענת קנה רצוץ""",not annotated,רננה
663405,ME-11-06-51536-78,6.0," גם חוסר מהימנות זה שבגירסת הנאשם הינו חיזוק של ממש לגירסת המתלוננת שלפיה בין השאר, הנאשם קיים עימה יחסי מין וביצע אקטים מיניים שלא בהסכמתה החופשית, בכוח, כפי שהמתלוננת העידה כאמור לעיל",not annotated,רננה
633015,s001440,1.0, ניתנת האמת להיאמר – גירסתה של המתלוננת בענין זה היא מבולבלת ולא אחידה,not annotated,רננה
460011,s03001203-186,5.0," ענין לנו בעבירות מין, כאשר מעצם טיבן וייחודן מתבצעות בדרך כלל בצנעה, רחוק מן העין בנוכחות העבריין וקורבנו בלבד, ועל כן כל מה שיש  בפני בית המשפט הן עדויות קוטביות של  המתלוננת והנאשם",not annotated,רננה
196945,m05000543,8.0,"לסיכום, המתלוננת מסרה גרסה שלמה, מלאה והגיונית אודות ארבעת האירועים נשוא כתב האישום",not annotated,רננה
785246,s99001445-106,5.0,"תלונה זו, כמו העדויות האחרות של המתלונן, הוגשה בהסכמה",not annotated,רננה
173123,SH-09-11-8057-446,5.0,"מול עדותה המהימנה של המתלוננת, הנתמכת כאמור בראיות חיצוניות, עומדת בבדידותה עדותו של הנאשם ",not annotated,רננה
226298,ME-11-10-363-44,1.0,"גם הפעם לא אתייחס בהכרעת דיני לאותן נגיעות נוספות עליהן העיד המתלונן, שכן הנאשם לא הואשם במעשים אלו ועדותו של המתלונן לגביהם הייתה מבולבלת ולא עקבית",not annotated,רננה
291642,s05002659-374,3.0," לעומתו, גירסת המתלוננת היתה עקבית וברורה בנקודה זו",not annotated,רננה
851238,ME-10-07-21310-4,3.0,"למעלה מכך, גרסת המתלוננת בעניין זה, הייתה חדה, ברורה ועקבית, לאורך כל חקירותיה ואף בעדותה בפנינו, והתנגדותה למעשי הנאשם בה, החל מהמגע הראשוני, הוכחה בפנינו",not annotated,רננה
57988,ME-11-06-2965-391,1.0,"גרסה שקרית זו של המתלוננת היא משמעותית ביותר, מאחר שהעבר המשותף שלה ושל הנאשם בוודאי מקרין לא רק על מידת המהימנות שיש ליחס למתלוננת באופן כללי, אלא אף על מידת המהימנות שיש ליחס לגרסתו של הנאשם שהשניים התחבקו והתנשקו וזרמו לקראת יחסים אינטימיים גם בליל האירוע נשוא כתב האישום",not annotated,רננה
195919,SH-11-04-25817-156,7.0," עדות המתלוננת הייתה עניינית, עקבית, מפורטת וברורה, ולא נסתרה בחקירה נגדית בנושאים המרכזיים",not annotated,רננה
270606,m021212d,1.0,הֲלָכָה פסוקה היא כי גם אם עדותה של מתלוננת בעבירות-מין אינה מושלמת - אין פירוש הדבר שהיא אינה שלֵמה,not annotated,רננה
626828,ME-10-01-24354-12,5.0," גם בעדותה הנוספת של המתלוננת בביהמ""ש  מסרה כי על האינוס סיפרה בפעם הראשונה בחייה במשטרה",not annotated,רננה
200458,s00003258-220,1.0,"מאחר וקבעתי כי עדותה של המתלוננת לעניין האירוע אמינה וגירסתו של הנאשם אף מחזקת אותה , באשר לקיומה של הנשיקה בלא הסכמתה הממשית פוזיטיבית של המתלוננת כנדרש עפ""י הסעיף, ולכן מתקיים היסוד הפיסי של העבירה",not annotated,רננה
519155,s98001190-19,4.0," ועם זאת, יש בעדותה של ה",not annotated,רננה
30217,m001062,1.0,"עדותה של המתלוננת בפני חוקרת הנוער אכן מבולבלת מעט וחסרת רצף, אך יחד עם זאת הקפידה המתלוננת לחזור על עיקרי דבריה בכל הזדמנות",not annotated,רננה
19371,m06003021,5.0," על כן נראה כי לאור גילה הצעיר של המתלוננת בזמן ביצוע המעשים והזמן הרב שחלף, אין להסתפק בעדותה היחידה של המתלוננת לגבי טיב המעשים ואופיין של הנגיעות כדי להסיר כל ספק ולהרשיע את הנאשם",not annotated,רננה
48352,SH-13-08-24175-34,5.0,"אל מול עדותה האמינה והאותנטית של המתלוננת, עומדת לה עדותו המתחמקת הבלתי מבוססת והמופרכת של הנאשם, שלא עוררה בי שמץ של אמון",not annotated,רננה
630489,s03004162-8,17.0, המתלוננת  עשתה עלי רושם אמין,not annotated,רננה
564652,SH-13-06-13765-22,17.0,"המתלוננת עשתה עליי רושם מהימן, ולא נותר בלבי ספק, שהיא תיארה את שאירע לה, ללא הגזמה",not annotated,רננה
403189,261890,5.0,"  לא על פי  אמרותיו  אציע להרשיעו, אלא על פי עדותה המהימנה של  המתלוננת  אשר חוזקה ואומתה בשורה של ראיות כפי  שעמדתי עליהן",not annotated,רננה
693172,m01000232,1.0," כאמור לעיל, עדותה של המתלוננת הייתה בלתי מהימנה",not annotated,רננה
178492,s05001085-150,3.0,"משקבעתי כי גרסת המתלוננת אמינה עלי, ובדחותי את גירסת ההגנה, אני קובעת כי הוכחו יסודות העבירות שיוחסו לנאשם בכתב האישום מעבר לכל ספק סביר",not annotated,רננה
444118,m06001058-315,7.0,"לאור האמור, איני סובר, כי גרסת המתלוננת הינה עקבית, או שהיא הקפידה לדייק בפרטים",not annotated,רננה
46213,SH-10-04-42431-606,5.0," שום ראיה חפצית לא הובאה לתמוך בגרסתו המופרכת של המתלונן""",not annotated,רננה
322091,M-NoPub-ZB-3-117-L,1.0," כאמור, עדותה של המתלוננת מקובלת ומהימנת עלי, ונותנת ביטוי אמת למה שארע",not annotated,רננה
476690,ME-09-12-5569-3,12.0,"הגרסה המאוחרת של המתלונן, לפיה סיפר ל- נ' על המעשים עוד בבית המעצר, והשביע אותו שלא לגלות ועתה, לאחר שנזכר בכך שיחרר את נ' משבועתו, אינה אמינה, הן לאחר כבישתה והן לאור הכחשתה על ידי נ', ואי תמיכתה על ידי י' שהיה נוכח בכל עת ש- נ' היה עם המתלונן",not annotated,רננה
727116,ME-12-08-3491-22,8.0,"על כן, לנוכח העובדה שהמתלוננת העידה עדות מלאה בפנינו, הן בחקירה ראשית והן בחקירה נגדית, יכולנו להתרשם מעדותה באופן בלתי אמצעי",not annotated,רננה
87866,s04009041-538,16.0,"בנושא זה, דהיינו הגיל שבו קיימה יחסי מין מלאים עם הנאשם, הייתה המתלוננת עקבית למן ההודעה הראשונה שמסרה במרחב ירקון",not annotated,רננה
18525,m06003021,9.0, עד לשלב זה עדותה של המתלוננת הופסקה מספר רב של פעמים כדי לאפשר לה להירגע,not annotated,רננה
344947,m07004058,5.0,"במקרה דנן, בפנינו עדותה היחידה של המתלוננת ומעשים אשר בוצעו, על פי הנטען, כשנה-שנתיים לפני הגשת תלונתה, בפרקי זמן שונים",not annotated,רננה
303501,s04004944-197,8.0," לגישת המאשימה, המתלוננת מסרה עדות אמינה, המגוללת את קורותיה כהוויתם",not annotated,רננה
168695,s02001710-515,5.0," יודגש כי אינני קובעת שעדותו של המתלונן כולה שקרית; מובטחני כי פרטים שונים שמסר, הן באשר למפגש בחדר העבודה, כמו גם פרטים אחדים באירוע שבחדר השינה - היו גם היו",not annotated,רננה
311437,T630000J,8.0," היא עדות כבושה רק בתוך כדי שרותה הצבאי של המתלוננת בהיותה מעל גיל 18 שנה, הביאה המתלוננת את גירסתה החמורה והנוראה, נגד הנאשם",not annotated,רננה
631202,k00020198p,1.0,עדותו של המתלונן היתה זהירה,not annotated,רננה
354512,ME-11-02-34952-76,5.0," עדותה הנוספת של המתלוננת ניתנה ללא כל ראיון נוסף ע""י התובעת, אם כי יצויין שהמתלוננת שהתה באולם ביהמ""ש בעת שאמה וחברותיה – ר' ו-ל' - העידו",not annotated,רננה
655317,s02003061-156,5.0," לא ניתן להצביע בבירור על אילו משני הביקורים בביתה של המתלוננת מדובר, אך לאור גירסתה הנחרצת של המתלוננת כי הביקורים בביתה אירעו במהלך יום העבודה בשעות הבוקר, עדות זו מכרסמת באמינותה",not annotated,רננה
349415,s005064,14.0," מטבע הדברים, עדותה של המתלוננת היא עדות עיקרית וראשית ברם, אין להפחית מחשיבות עדותה של אלמונית ",not annotated,רננה
